Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Shaiiko,BDS,8,2,2,11,2,6,0,17,14,1.2142857142857142
Brid,BDS,5,2,0,9,1,6,3,30,14,2.142857142857143
Likefac,BDS,10,7,3,11,2,6,0,24,14,1.7142857142857142
Solotov,BDS,14,8,2,10,2,6,0,44,14,3.142857142857143
Yuzus,BDS,9,5,0,12,0,6,0,16,14,1.1428571428571428
Azzr,ITB,5,4,1,7,1,0,0,0,7,0
Kendrew,ITB,1,1,0,7,1,0,0,-19,7,-2.714285714
Noa,ITB,1,1,0,7,3,0,0,-23,7,-3.285714286
Creedz,ITB,3,2,0,7,1,0,0,-10,7,-1.428571429
Oscr,ITB,4,3,0,7,0,0,0,-4,7,-0.571428571
Savage,Secret,17,7,2,15,3,14,1,67,22,3.0454545454545454
Gruby,Secret,21,10,4,11,2,14,1,102,22,4.636363636363637
Miracle,Secret,14,6,2,14,4,14,0,46,22,2.090909090909091
Jume,Secret,24,10,2,13,1,14,1,109,22,4.954545454545454
Adrian,Secret,14,6,1,15,1,14,0,47,22,2.1363636363636362
Dfuzr,Beastcoast,8,4,1,12,2,7,0,12,15,0.8
Gaveni,Beastcoast,13,6,2,11,0,7,1,52,15,3.466666666666667
Gunnar,Beastcoast,12,6,1,10,2,7,0,36,15,2.4
Hotan,Beastcoast,7,6,1,11,3,7,1,14,15,0.9333333333333333
Spiritz,Beastcoast,12,4,1,9,2,7,0,41,15,2.7333333333333334
Spoit,M80,8,0,1,4,1,7,0,42,7,6
Ctzn,M80,8,2,2,3,0,7,0,47,7,6.714285714285714
Cameraman,M80,4,2,0,2,0,7,0,26,7,3.7142857142857144
Kyno,M80,8,5,1,3,0,7,1,50,7,7.142857142857143
Nudl,M80,7,5,2,2,0,7,0,42,7,6
Njr,DarkZero,9,4,0,4,1,7,1,49,9,5.444444444444445
Panba,DarkZero,2,0,0,6,1,7,0,4,9,0.4444444444444444
Canadian,DarkZero,7,3,1,5,1,7,0,31,9,3.4444444444444446
Beaulo,DarkZero,14,3,2,5,1,7,0,68,9,7.555555555555555
Nafe,DarkZero,8,3,1,4,1,7,0,39,9,4.333333333333333
Cyber,FaZe,16,7,2,8,4,8,0,61,15,4.066666666666666
Soulz,FaZe,12,4,2,7,0,8,1,63,15,4.2
Vitaking,FaZe,6,2,0,12,2,8,0,4,15,0.26666666666666666
Handy,FaZe,8,3,3,12,0,8,0,23,15,1.5333333333333334
Kds,FaZe,11,5,2,13,0,8,0,31,15,2.066666666666667
Arthur,E1,12,7,1,19,5,12,0,12,27,0.4444444444444444
Flastry,E1,15,4,2,18,6,12,0,33,27,1.2222222222222223
Emptz,E1,18,10,1,16,0,12,3,82,27,3.037037037037037
Peres,E1,27,12,3,19,6,12,0,84,27,3.111111111111111
Stk,E1,14,6,2,21,0,12,0,29,27,1.0740740740740742
Felipox,Furia,12,7,1,12,3,15,0,43,23,1.8695652173913044
Herdz,Furia,19,7,5,17,2,15,0,73,23,3.1739130434782608
Jv92,Furia,17,11,1,15,1,15,0,59,23,2.5652173913043477
Kheyze,Furia,26,12,3,13,2,15,0,111,23,4.826086956521739
Nade,Furia,17,8,1,14,3,15,2,77,23,3.347826086956522
Fishlike,Scarz,7,5,1,7,2,2,0,11,9,1.2222222222222223
Taiyou,Scarz,4,2,1,7,0,2,0,3,9,0.3333333333333333
Washoy,Scarz,2,0,1,8,2,2,0,-12,9,-1.333333333
Rec,Scarz,8,4,1,9,0,2,0,15,9,1.6666666666666667
Nina,Scarz,3,2,1,9,0,2,0,-8,9,-0.888888889
Misa,Talon,17,4,2,8,0,8,0,77,14,5.5
Royboy,Talon,11,4,3,10,3,8,0,37,14,2.642857142857143
Jlt,Talon,7,4,0,9,1,8,0,18,14,1.2857142857142858
Rider,Talon,9,5,0,9,0,8,0,29,14,2.0714285714285716
Soldier,Talon,9,3,2,10,3,8,0,26,14,1.8571428571428572
Odah,Bliss,15,5,1,18,2,8,0,30,22,1.3636363636363635
Fishoguy,Bliss,10,5,0,18,1,8,0,5,22,0.22727272727272727
Brendo,Bliss,19,8,6,16,3,8,0,61,22,2.772727272727273
Sageon,Bliss,11,2,1,19,4,8,0,6,22,0.2727272727272727
Wettables,Bliss,12,6,3,18,1,8,0,20,22,0.9090909090909091
Virtue,G2,0,0,0,0,0,0,0,0,0,0
Alemao,G2,0,0,0,0,0,0,0,0,0,0
Doki,G2,0,0,0,0,0,0,0,0,0,0
Benja,G2,0,0,0,0,0,0,0,0,0,0
Uuno,G2,0,0,0,0,0,0,0,0,0,0
