Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Shaiiko,BDS,0,0,0,0,0,0,0,0,0,0
Brid,BDS,0,0,0,0,0,0,0,0,0,0
Likefac,BDS,0,0,0,0,0,0,0,0,0,0
Solotov,BDS,0,0,0,0,0,0,0,0,0,0
Yuzus,BDS,0,0,0,0,0,0,0,0,0,0
Azzr,ITB,0,0,0,0,0,0,0,0,0,0
Kendrew,ITB,0,0,0,0,0,0,0,0,0,0
Noa,ITB,0,0,0,0,0,0,0,0,0,0
Creedz,ITB,0,0,0,0,0,0,0,0,0,0
Oscr,ITB,0,0,0,0,0,0,0,0,0,0
Savage,Secret,0,0,0,0,0,0,0,0,0,0
Gruby,Secret,0,0,0,0,0,0,0,0,0,0
Miracle,Secret,0,0,0,0,0,0,0,0,0,0
Jume,Secret,0,0,0,0,0,0,0,0,0,0
Adrian,Secret,0,0,0,0,0,0,0,0,0,0
Dfuzr,Beastcoast,0,0,0,0,0,0,0,0,0,0
Gaveni,Beastcoast,0,0,0,0,0,0,0,0,0,0
Gunnar,Beastcoast,0,0,0,0,0,0,0,0,0,0
Hotan,Beastcoast,0,0,0,0,0,0,0,0,0,0
Spiritz,Beastcoast,0,0,0,0,0,0,0,0,0,0
Spoit,M80,0,0,0,0,0,0,0,0,0,0
Ctzn,M80,0,0,0,0,0,0,0,0,0,0
Cameraman,M80,0,0,0,0,0,0,0,0,0,0
Kyno,M80,0,0,0,0,0,0,0,0,0,0
Nudl,M80,0,0,0,0,0,0,0,0,0,0
Njr,DarkZero,0,0,0,0,0,0,0,0,0,0
Panba,DarkZero,0,0,0,0,0,0,0,0,0,0
Canadian,DarkZero,0,0,0,0,0,0,0,0,0,0
Beaulo,DarkZero,0,0,0,0,0,0,0,0,0,0
Nafe,DarkZero,0,0,0,0,0,0,0,0,0,0
Cyber,FaZe,0,0,0,0,0,0,0,0,0,0
Soulz,FaZe,0,0,0,0,0,0,0,0,0,0
Vitaking,FaZe,0,0,0,0,0,0,0,0,0,0
Handy,FaZe,0,0,0,0,0,0,0,0,0,0
Kds,FaZe,0,0,0,0,0,0,0,0,0,0
Arthur,E1,0,0,0,0,0,0,0,0,0,0
Flastry,E1,0,0,0,0,0,0,0,0,0,0
Emptz,E1,0,0,0,0,0,0,0,0,0,0
Peres,E1,0,0,0,0,0,0,0,0,0,0
Stk,E1,0,0,0,0,0,0,0,0,0,0
Felipox,Furia,0,0,0,0,0,0,0,0,0,0
Herdz,Furia,0,0,0,0,0,0,0,0,0,0
Jv92,Furia,0,0,0,0,0,0,0,0,0,0
Kheyze,Furia,0,0,0,0,0,0,0,0,0,0
Nade,Furia,0,0,0,0,0,0,0,0,0,0
Fishlike,Scarz,0,0,0,0,0,0,0,0,0,0
Taiyou,Scarz,0,0,0,0,0,0,0,0,0,0
Washoy,Scarz,0,0,0,0,0,0,0,0,0,0
Rec,Scarz,0,0,0,0,0,0,0,0,0,0
Nina,Scarz,0,0,0,0,0,0,0,0,0,0
Misa,Talon,0,0,0,0,0,0,0,0,0,0
Royboy,Talon,0,0,0,0,0,0,0,0,0,0
Jlt,Talon,0,0,0,0,0,0,0,0,0,0
Rider,Talon,0,0,0,0,0,0,0,0,0,0
Soldier,Talon,0,0,0,0,0,0,0,0,0,0
Odah,Bliss,0,0,0,0,0,0,0,0,0,0
Fishoguy,Bliss,0,0,0,0,0,0,0,0,0,0
Brendo,Bliss,0,0,0,0,0,0,0,0,0,0
Sageon,Bliss,0,0,0,0,0,0,0,0,0,0
Wettables,Bliss,0,0,0,0,0,0,0,0,0,0
Virtue,G2,24,15,5,19,1,18,0,92,34,2.7058823529411766
Alemao,G2,29,17,5,21,3,18,0,105,34,3.088235294117647
Doki,G2,24,7,5,30,4,18,0,61,34,1.7941176470588236
Benja,G2,27,11,4,25,2,18,0,89,34,2.6176470588235294
Uuno,G2,24,13,1,24,3,18,0,67,34,1.9705882352941178
Fultz,SSG,21,11,7,16,1,15,2,104,23,4.521739130434782
Forrest,SSG,22,11,1,15,2,15,2,98,23,4.260869565217392
J90,SSG,23,13,1,11,4,15,1,101,23,4.391304347826087
Ashn,SSG,17,9,3,16,4,15,0,56,23,2.4347826086956523
Iconic,SSG,11,4,0,18,0,15,0,27,23,1.173913043478261
Nesk,Liquid,29,11,2,28,7,16,0,72,34,2.1176470588235294
Paluh,Liquid,27,12,4,23,3,16,0,88,34,2.588235294117647
Resetz,Liquid,22,3,2,29,3,16,0,50,34,1.4705882352941178
Lagonis,Liquid,15,7,0,23,2,16,1,35,34,1.0294117647058822
Maia,Liquid,26,13,6,25,6,16,2,90,34,2.6470588235294117
Anitun,Cyclops,15,6,3,18,2,9,0,35,24,1.4583333333333333
Blackray,Cyclops,5,3,1,18,6,9,0,-24,24,-1.0
Chibisu,Cyclops,14,4,1,17,2,9,0,31,24,1.2916666666666667
Shureap,Cyclops,22,6,3,18,1,9,1,80,24,3.3333333333333335
Sironeko,Cyclops,10,3,3,20,2,9,0,7,24,0.2916666666666667
Goodboy,FearX,19,7,4,21,3,12,0,51,27,1.8888888888888888
Mephi,FearX,18,5,2,19,3,12,1,58,27,2.1481481481481484
Demic,FearX,15,11,1,20,5,12,0,20,27,0.7407407407407407
Nova,FearX,11,6,1,20,3,12,1,17,27,0.6296296296296297
Rin,FearX,22,10,3,24,2,12,0,54,27,2.0
Rovi,Cruelty,13,7,1,20,4,8,0,8,23,0.34782608695652173
Ivan,Cruelty,14,6,4,17,5,8,1,35,23,1.5217391304347827
Motumbo,Cruelty,15,10,3,20,0,8,1,35,23,1.5217391304347827
Pyroxz,Cruelty,24,7,3,18,1,8,0,79,23,3.4347826086956523
Toski,Cruelty,9,2,0,18,2,8,1,9,23,0.391304347826087
Asphy,Bleed,20,14,3,12,2,15,0,82,24,3.4166666666666665
Hoven,Bleed,21,10,5,15,3,15,0,84,24,3.5
Mentalist,Bleed,11,5,2,15,3,15,1,41,24,1.7083333333333333
Reeps,Bleed,30,15,2,12,2,15,1,137,24,5.708333333333333
Terdsta,Bleed,9,4,1,12,1,15,0,35,24,1.4583333333333333
Srsly,Geekay,29,16,2,15,1,15,0,116,27,4.296296296296297
Trixd,Geekay,12,8,1,16,1,15,1,42,27,1.5555555555555556
Xke,Geekay,18,9,3,16,4,15,0,61,27,2.259259259259259
Blaz,Geekay,24,12,8,19,4,15,0,89,27,3.2962962962962963
Neskin,Geekay,21,8,2,19,1,15,0,72,27,2.6666666666666665
