Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Lagonis,Liquid,6,3,0,7,0,3,0,12,10,1.2
Nesk,Liquid,8,3,1,9,2,3,0,14,10,1.4
Paluh,Liquid,6,4,1,8,1,3,0,8,10,0.8
Resetz,Liquid,2,1,1,9,3,3,1,-8,10,-0.8
Maia,Liquid,7,1,0,9,1,3,0,11,10,1.1
Ask,Black Dragons,9,4,2,8,0,7,1,43,10,4.3
Loira,Black Dragons,10,5,3,6,0,7,0,47,10,4.7
Guto,Black Dragons,7,2,0,5,1,7,0,30,10,3.0
Nuxga,Black Dragons,4,1,0,5,1,7,1,24,10,2.4
Florio,Black Dragons,13,8,2,6,1,7,0,55,10,5.5
Psycho,NiP,4,2,0,10,1,4,0,-6,11,-0.5454545454545454
Pino,NiP,4,2,0,10,2,4,0,-8,11,-0.7272727272727273
Muzi,NiP,15,4,2,8,1,4,0,57,11,5.181818181818182
Wizard,NiP,9,3,1,8,1,4,0,26,11,2.3636363636363638
Kondz,NiP,7,4,1,8,2,4,1,21,11,1.9090909090909092
Arthur,E1,5,3,1,8,0,4,0,8,11,0.7272727272727273
Flastry,E1,8,3,1,10,0,4,0,17,11,1.5454545454545454
Emptz,E1,11,6,2,9,2,4,0,30,11,2.727272727272727
Stk,E1,9,2,2,9,1,4,1,34,11,3.090909090909091
Peres,E1,4,1,0,9,2,4,1,4,11,0.36363636363636365
Vitaking,FaZe,6,3,0,6,0,7,0,23,11,2.090909090909091
Handy,FaZe,9,3,1,6,2,7,0,36,11,3.272727272727273
Cyber,FaZe,13,2,3,8,2,7,0,55,11,5.0
Soulz,FaZe,6,3,1,5,0,7,1,36,11,3.272727272727273
Kds,FaZe,10,4,1,7,1,7,1,47,11,4.2727272727272725
Volpz,W7M,11,7,2,9,1,7,1,45,11,4.090909090909091
Lobin,W7M,12,4,3,8,0,7,0,52,11,4.7272727272727275
Dash,W7M,6,3,1,7,1,7,0,20,11,1.8181818181818181
Dotz,W7M,3,0,0,8,0,7,1,13,11,1.1818181818181819
Dodez,W7M,9,4,1,8,2,7,0,29,11,2.6363636363636362
Lenda,Keyd Stars,2,0,1,9,4,7,1,-1,11,-0.09090909090909091
Stemp,Keyd Stars,9,5,0,8,1,7,0,28,11,2.5454545454545454
Daffodil,Keyd Stars,12,5,2,8,0,7,0,49,11,4.454545454545454
Hatez,Keyd Stars,12,5,0,6,1,7,0,49,11,4.454545454545454
Hornet,Keyd Stars,11,4,2,7,0,7,1,56,11,5.090909090909091
Rare,MIBR,7,4,1,9,1,7,1,26,11,2.3636363636363638
Gomes,MIBR,8,5,0,9,0,7,0,22,11,2.0
Yektz,MIBR,7,2,4,8,3,7,1,33,11,3.0
Semper,MIBR,10,7,0,8,0,7,0,33,11,3.0
Bullet,MIBR,12,5,2,5,0,7,0,58,11,5.2727272727272725
Herdz,Furia,7,3,0,7,1,4,0,17,11,1.5454545454545454
Kheyze,Furia,11,6,1,9,3,4,0,26,11,2.3636363636363638
Jv92,Furia,9,4,2,8,3,4,0,23,11,2.090909090909091
Felipox,Furia,7,6,0,8,0,4,0,13,11,1.1818181818181819
Nade,Furia,6,2,1,9,0,4,0,11,11,1.0
Astro,Fluxo,8,5,1,9,1,4,0,16,11,1.4545454545454546
Lukid,Fluxo,2,0,0,8,1,4,0,-8,11,-0.7272727272727273
Rappz,Fluxo,5,2,0,9,0,4,0,4,11,0.36363636363636365
Mitrix,Fluxo,8,4,4,10,1,4,0,20,11,1.8181818181818181
Hash,Fluxo,10,1,0,8,3,4,0,27,11,2.4545454545454546
