Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Lagonis,Liquid,3,0,1,7,1,1,0,-4,8,-0.5
Nesk,Liquid,7,3,2,8,0,1,0,14,8,1.75
Paluh,Liquid,6,2,0,7,0,1,0,9,8,1.125
Resetz,Liquid,2,0,1,7,2,1,0,-11,8,-1.375
Maia,Liquid,2,0,0,8,1,1,0,-14,8,-1.75
Ask,Black Dragons,10,4,3,10,0,7,0,36,15,2.4
Loira,Black Dragons,9,6,1,10,5,7,0,15,15,1.0
Guto,Black Dragons,17,4,3,10,1,7,0,69,15,4.6
Nuxga,Black Dragons,8,3,0,14,0,7,0,9,15,0.6
Florio,Black Dragons,2,0,1,10,2,7,1,0,15,0.0
Psycho,NiP,11,4,1,5,1,7,1,58,12,4.833333333333333
Pino,NiP,11,4,2,10,1,7,0,37,12,3.0833333333333335
Muzi,NiP,14,3,1,6,1,7,1,71,12,5.916666666666667
Wizard,NiP,5,1,2,10,3,7,0,6,12,0.5
Kondz,NiP,5,0,0,8,0,7,1,23,12,1.9166666666666667
Arthur,E1,7,3,2,5,1,7,3,57,8,7.125
Flastry,E1,6,1,1,2,0,7,0,39,8,4.875
Emptz,E1,12,9,0,4,0,7,0,53,8,6.625
Stk,E1,5,5,0,4,1,7,0,20,8,2.5
Peres,E1,7,1,1,5,2,7,0,31,8,3.875
Vitaking,FaZe,10,5,0,6,1,8,1,49,15,3.2666666666666666
Handy,FaZe,15,9,1,10,0,8,0,54,15,3.6
Cyber,FaZe,7,1,2,14,4,8,0,4,15,0.26666666666666666
Soulz,FaZe,13,10,2,8,1,8,0,49,15,3.2666666666666666
Kds,FaZe,9,4,2,8,1,8,0,35,15,2.3333333333333335
Volpz,W7M,13,3,0,7,1,7,0,53,11,4.818181818181818
Lobin,W7M,5,2,1,8,1,7,0,13,11,1.1818181818181819
Dash,W7M,4,1,2,9,1,7,0,8,11,0.7272727272727273
Dotz,W7M,8,6,0,6,1,7,2,44,11,4.0
Dodez,W7M,12,4,3,7,1,7,0,53,11,4.818181818181818
Lenda,Keyd Stars,8,3,1,8,1,5,0,23,12,1.9166666666666667
Stemp,Keyd Stars,13,7,1,9,1,5,1,49,12,4.083333333333333
Daffodil,Keyd Stars,5,2,1,8,1,5,1,17,12,1.4166666666666667
Hatez,Keyd Stars,6,3,3,10,1,5,0,11,12,0.9166666666666666
Hornet,Keyd Stars,5,2,1,11,1,5,0,0,12,0.0
Rare,MIBR,10,3,1,7,1,4,1,42,11,3.8181818181818183
Gomes,MIBR,1,0,0,10,1,4,0,-19,11,-1.7272727272727273
Yektz,MIBR,9,4,4,10,3,4,0,21,11,1.9090909090909092
Semper,MIBR,8,3,0,8,1,4,0,19,11,1.7272727272727273
Bullet,MIBR,9,5,0,7,0,4,0,27,11,2.4545454545454546
Herdz,Furia,11,3,1,9,2,7,0,37,12,3.0833333333333335
Kheyze,Furia,8,4,2,8,2,7,0,26,12,2.1666666666666665
Jv92,Furia,15,5,2,7,0,7,0,67,12,5.583333333333333
Felipox,Furia,4,1,0,8,2,7,2,21,12,1.75
Nade,Furia,8,0,0,5,1,7,0,37,12,3.0833333333333335
Astro,Fluxo,5,4,1,10,2,5,1,7,12,0.5833333333333334
Lukid,Fluxo,9,6,0,9,0,5,1,30,12,2.5
Rappz,Fluxo,4,1,1,8,0,5,0,7,12,0.5833333333333334
Mitrix,Fluxo,13,6,2,8,2,5,0,45,12,3.75
Hash,Fluxo,8,3,2,11,2,5,0,14,12,1.1666666666666667
