Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Lagonis,Liquid,3,3,0,6,0,7,1,16,12,1.3333333333333333
Nesk,Liquid,12,3,1,10,3,7,0,37,12,3.0833333333333335
Paluh,Liquid,11,3,1,8,1,7,0,42,12,3.5
Resetz,Liquid,8,5,0,9,2,7,0,18,12,1.5
Maia,Liquid,9,5,2,10,2,7,0,24,12,2.0
Ask,Black Dragons,11,7,1,6,1,7,0,44,10,4.4
Loira,Black Dragons,8,1,3,6,2,7,0,37,10,3.7
Guto,Black Dragons,10,2,3,7,0,7,0,47,10,4.7
Nuxga,Black Dragons,7,5,0,5,0,7,2,45,10,4.5
Florio,Black Dragons,7,1,0,4,0,7,0,36,10,3.6
Psycho,NiP,6,3,1,9,0,3,2,24,10,2.4
Pino,NiP,5,0,2,9,4,3,0,0,10,0.0
Muzi,NiP,4,1,0,9,1,3,0,-4,10,-0.4
Wizard,NiP,8,3,0,9,1,3,0,14,10,1.4
Kondz,NiP,4,1,0,10,1,3,0,-7,10,-0.7
Arthur,E1,6,2,1,7,1,7,2,37,11,3.3636363636363638
Flastry,E1,12,3,0,4,1,7,0,57,11,5.181818181818182
Emptz,E1,4,3,0,8,3,7,0,1,11,0.09090909090909091
Stk,E1,12,5,2,6,1,7,0,53,11,4.818181818181818
Peres,E1,11,5,1,7,1,7,0,43,11,3.909090909090909
Vitaking,FaZe,5,2,0,6,0,7,1,27,11,2.4545454545454546
Handy,FaZe,8,4,2,7,1,7,0,31,11,2.8181818181818183
Cyber,FaZe,11,7,1,8,2,7,1,44,11,4.0
Soulz,FaZe,6,2,1,9,1,7,0,15,11,1.3636363636363635
Kds,FaZe,14,2,1,7,2,7,0,59,11,5.363636363636363
Volpz,W7M,9,4,2,7,1,7,1,44,10,4.4
Lobin,W7M,13,8,2,4,0,7,0,63,10,6.3
Dash,W7M,10,6,2,5,1,7,0,45,10,4.5
Dotz,W7M,7,3,0,5,1,7,0,29,10,2.9
Dodez,W7M,6,3,1,5,0,7,0,28,10,2.8
Lenda,Keyd Stars,9,4,0,8,1,5,0,25,12,2.0833333333333335
Stemp,Keyd Stars,5,3,1,11,1,5,0,-1,12,-0.08333333333333333
Daffodil,Keyd Stars,8,4,0,9,0,5,0,19,12,1.5833333333333333
Hatez,Keyd Stars,9,4,5,9,1,5,0,32,12,2.6666666666666665
Hornet,Keyd Stars,13,5,2,7,1,5,1,59,12,4.916666666666667
Rare,MIBR,4,1,0,10,0,4,0,-3,11,-0.2727272727272727
Gomes,MIBR,4,2,0,8,1,4,0,0,11,0.0
Yektz,MIBR,6,3,2,9,2,4,0,8,11,0.7272727272727273
Semper,MIBR,9,5,2,10,0,4,0,22,11,2.0
Bullet,MIBR,9,4,3,8,1,4,0,29,11,2.6363636363636362
Herdz,Furia,9,4,4,8,2,4,0,29,11,2.6363636363636362
Kheyze,Furia,6,1,0,10,1,4,0,5,11,0.45454545454545453
Jv92,Furia,12,7,1,8,1,4,0,37,11,3.3636363636363638
Felipox,Furia,9,4,1,9,0,4,0,24,11,2.1818181818181817
Nade,Furia,1,0,0,9,1,4,0,-16,11,-1.4545454545454546
Astro,Fluxo,6,4,0,8,1,3,2,22,10,2.2
Lukid,Fluxo,5,1,0,8,0,3,0,6,10,0.6
Rappz,Fluxo,8,3,1,9,2,3,1,22,10,2.2
Mitrix,Fluxo,4,2,1,8,1,3,0,0,10,0.0
Hash,Fluxo,5,3,1,10,3,3,0,-6,10,-0.6
