Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Lagonis,Liquid,0,0,0,0,0,0,0,0,0,0
Nesk,Liquid,0,0,0,0,0,0,0,0,0,0
Paluh,Liquid,0,0,0,0,0,0,0,0,0,0
Resetz,Liquid,0,0,0,0,0,0,0,0,0,0
Maia,Liquid,0,0,0,0,0,0,0,0,0,0
Ask,Black Dragons,4,3,1,19,3,7,0,-30,21,-1.4285714285714286
Loira,Black Dragons,12,5,3,19,8,7,0,2,21,0.09523809523809523
Guto,Black Dragons,13,5,0,16,1,7,0,24,21,1.1428571428571428
Nuxga,Black Dragons,15,4,0,15,2,7,1,44,21,2.0952380952380953
Florio,Black Dragons,21,11,3,14,0,7,0,72,21,3.4285714285714284
Psycho,NiP,0,0,0,0,0,0,0,0,0,0
Pino,NiP,0,0,0,0,0,0,0,0,0,0
Muzi,NiP,0,0,0,0,0,0,0,0,0,0
Wizard,NiP,0,0,0,0,0,0,0,0,0,0
Kondz,NiP,0,0,0,0,0,0,0,0,0,0
Arthur,E1,16,10,1,15,2,14,2,67,21,3.1904761904761907
Flastry,E1,20,8,0,10,0,14,0,90,21,4.285714285714286
Emptz,E1,12,7,2,13,1,14,1,52,21,2.4761904761904763
Stk,E1,14,6,3,12,3,14,0,56,21,2.6666666666666665
Peres,E1,21,6,8,15,1,14,0,96,21,4.571428571428571
Vitaking,FaZe,0,0,0,0,0,0,0,0,0,0
Handy,FaZe,0,0,0,0,0,0,0,0,0,0
Cyber,FaZe,0,0,0,0,0,0,0,0,0,0
Soulz,FaZe,0,0,0,0,0,0,0,0,0,0
Kds,FaZe,0,0,0,0,0,0,0,0,0,0
Volpz,W7M,0,0,0,0,0,0,0,0,0,0
Lobin,W7M,0,0,0,0,0,0,0,0,0,0
Dash,W7M,0,0,0,0,0,0,0,0,0,0
Dotz,W7M,0,0,0,0,0,0,0,0,0,0
Dodez,W7M,0,0,0,0,0,0,0,0,0,0
Lenda,Keyd Stars,7,3,1,19,5,10,0,-13,25,-0.52
Stemp,Keyd Stars,17,7,3,18,3,10,0,44,25,1.76
Daffodil,Keyd Stars,15,8,0,21,4,10,0,16,25,0.64
Hatez,Keyd Stars,10,3,3,21,4,10,0,2,25,0.08
Hornet,Keyd Stars,19,5,1,19,1,10,0,53,25,2.12
Rare,MIBR,0,0,0,0,0,0,0,0,0,0
Gomes,MIBR,0,0,0,0,0,0,0,0,0,0
Yektz,MIBR,0,0,0,0,0,0,0,0,0,0
Semper,MIBR,0,0,0,0,0,0,0,0,0,0
Bullet,MIBR,0,0,0,0,0,0,0,0,0,0
Herdz,Furia,22,4,6,16,2,15,0,96,25,3.84
Kheyze,Furia,16,5,3,17,3,15,0,54,25,2.16
Jv92,Furia,31,14,5,11,1,15,0,146,25,5.84
Felipox,Furia,19,6,2,11,1,15,1,96,25,3.84
Nade,Furia,10,5,1,13,1,15,2,52,25,2.08
Astro,Fluxo,0,0,0,0,0,0,0,0,0,0
Lukid,Fluxo,0,0,0,0,0,0,0,0,0,0
Rappz,Fluxo,0,0,0,0,0,0,0,0,0,0
Mitrix,Fluxo,0,0,0,0,0,0,0,0,0,0
Hash,Fluxo,0,0,0,0,0,0,0,0,0,0
