Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Lagonis,Liquid,8,4,0,6,0,14,4,78,18,4.333333333333333
Nesk,Liquid,23,12,4,14,1,14,0,95,18,5.277777777777778
Paluh,Liquid,16,8,2,12,2,14,0,64,18,3.5555555555555554
Resetz,Liquid,16,8,2,11,1,14,0,69,18,3.8333333333333335
Maia,Liquid,16,8,4,11,2,14,0,71,18,3.9444444444444446
Ask,Black Dragons,22,15,2,12,4,15,0,85,24,3.5416666666666665
Loira,Black Dragons,16,7,2,19,5,15,1,48,24,2
Guto,Black Dragons,16,8,2,20,1,15,0,44,24,1.8333333333333333
Nuxga,Black Dragons,20,7,4,12,0,15,5,135,24,5.625
Florio,Black Dragons,11,5,2,15,1,15,0,37,24,1.5416666666666667
Psycho,NiP,13,3,0,16,2,9,1,36,24,1.5
Pino,NiP,17,11,2,18,5,9,0,32,24,1.3333333333333333
Muzi,NiP,21,10,3,17,1,9,0,66,24,2.75
Wizard,NiP,13,7,4,17,3,9,0,27,24,1.125
Kondz,NiP,15,5,2,18,2,9,0,34,24,1.4166666666666667
Volpz,W7M,22,11,4,14,1,14,0,91,22,4.136363636363637
Lobin,W7M,22,11,4,12,2,14,1,103,22,4.681818181818182
Dash,W7M,10,4,2,13,1,14,0,37,22,1.6818181818181819
Dotz,W7M,14,8,2,12,3,14,4,84,22,3.8181818181818183
Dodez,W7M,16,8,1,13,2,14,0,59,22,2.6818181818181817
Lenda,Keyd Stars,16,7,1,18,3,9,0,33,23,1.434782608695652
Stemp,Keyd Stars,12,6,1,20,3,9,0,8,23,0.34782608695652173
Daffodil,Keyd Stars,20,5,0,17,0,9,0,62,23,2.6956521739130435
Hatez,Keyd Stars,15,9,6,19,6,9,0,27,23,1.173913043478261
Hornet,Keyd Stars,10,6,0,18,2,9,3,28,23,1.2173913043478262
Rare,MIBR,10,4,1,16,2,4,0,4,18,0.2222222222222222
Gomes,MIBR,14,6,1,17,4,4,0,15,18,0.8333333333333334
Yektz,MIBR,11,4,2,16,3,4,1,17,18,0.9444444444444444
Semper,MIBR,10,3,1,16,1,4,0,7,18,0.3888888888888889
Bullet,MIBR,11,4,1,16,2,4,1,17,18,0.9444444444444444
Astro,Fluxo,17,6,5,17,1,14,0,64,23,2.782608695652174
Lukid,Fluxo,19,4,1,14,1,14,1,85,23,3.6956521739130435
Rappz,Fluxo,22,9,0,11,1,14,4,126,23,5.478260869565218
Mitrix,Fluxo,15,4,3,17,3,14,2,64,23,2.782608695652174
Hash,Fluxo,21,11,5,16,3,14,0,78,23,3.391304347826087
Natan,E1 Academy,6,3,0,16,2,8,0,-9,22,-0.409090909
Bokzera,E1 Academy,1,1,0,17,1,8,0,-33,22,-1.5
Mr6otlaw,E1 Academy,24,12,4,17,2,8,0,77,22,3.5
Darkeyes,E1 Academy,15,4,2,16,3,8,1,45,22,2.0454545454545454
Kurtz,E1 Academy,18,7,3,18,5,8,0,41,22,1.8636363636363635
