Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Lagonis,Liquid,6,4,1,9,1,8,1,23,14,1.6428571428571428
Nesk,Liquid,12,3,2,12,3,8,0,35,14,2.5
Paluh,Liquid,14,3,1,6,0,8,0,67,14,4.785714285714286
Resetz,Liquid,13,6,0,9,0,8,0,48,14,3.4285714285714284
Maia,Liquid,13,5,3,9,3,8,0,49,14,3.5
Ask,Black Dragons,9,5,2,4,1,7,0,44,9,4.888888888888889
Loira,Black Dragons,12,6,2,5,1,7,0,55,9,6.111111111111111
Guto,Black Dragons,11,4,3,5,0,7,0,56,9,6.222222222222222
Nuxga,Black Dragons,3,1,0,4,0,7,0,16,9,1.7777777777777777
Florio,Black Dragons,3,1,0,5,0,7,0,13,9,1.4444444444444444
Psycho,NiP,6,4,2,7,0,0,0,9,7,1.2857142857142858
Pino,NiP,0,0,0,7,2,0,0,-25,7,-3.5714285714285716
Muzi,NiP,3,2,0,6,1,0,0,-7,7,-1.0
Wizard,NiP,5,2,1,6,0,0,0,7,7,1.0
Kondz,NiP,1,0,0,7,1,0,0,-18,7,-2.5714285714285716
Arthur,E1,6,2,2,8,1,3,0,12,10,1.2
Flastry,E1,7,2,0,7,0,3,0,18,10,1.8
Emptz,E1,4,3,0,8,2,3,0,-5,10,-0.5
Stk,E1,2,2,0,7,2,3,0,-11,10,-1.1
Peres,E1,7,3,1,8,2,3,0,12,10,1.2
Vitaking,FaZe,7,2,2,5,0,7,0,36,10,3.6
Handy,FaZe,10,4,0,4,0,7,0,48,10,4.8
Cyber,FaZe,8,3,3,9,3,7,0,24,10,2.4
Soulz,FaZe,8,3,1,3,0,7,0,44,10,4.4
Kds,FaZe,5,4,1,5,0,7,0,22,10,2.2
Volpz,W7M,14,6,0,6,2,7,0,56,11,5.090909090909091
Lobin,W7M,4,0,0,9,1,7,0,5,11,0.45454545454545453
Dash,W7M,8,2,1,10,0,7,0,24,11,2.1818181818181817
Dotz,W7M,8,4,2,8,1,7,0,28,11,2.5454545454545454
Dodez,W7M,13,3,2,8,2,7,0,52,11,4.7272727272727275
Lenda,Keyd Stars,5,4,0,1,0,7,0,32,7,4.571428571428571
Stemp,Keyd Stars,10,1,2,4,0,7,1,63,7,9.0
Daffodil,Keyd Stars,9,2,1,3,0,7,0,50,7,7.142857142857143
Hatez,Keyd Stars,5,2,0,3,2,7,0,24,7,3.4285714285714284
Hornet,Keyd Stars,4,1,1,4,1,7,3,45,7,6.428571428571429
Rare,MIBR,9,4,2,12,0,6,1,29,14,2.0714285714285716
Gomes,MIBR,9,6,2,11,4,6,0,14,14,1.0
Yektz,MIBR,12,6,1,13,1,6,1,35,14,2.5
Semper,MIBR,11,9,2,10,1,6,0,30,14,2.142857142857143
Bullet,MIBR,4,2,0,12,1,6,0,-8,14,-0.5714285714285714
Herdz,Furia,3,1,1,9,3,2,0,-13,9,-1.4444444444444444
Kheyze,Furia,5,2,1,8,2,2,0,1,9,0.1111111111111111
Jv92,Furia,6,3,0,7,0,2,0,10,9,1.1111111111111112
Felipox,Furia,6,1,0,7,1,2,0,10,9,1.1111111111111112
Nade,Furia,3,1,0,7,1,2,2,11,9,1.2222222222222223
Astro,Fluxo,10,3,0,8,1,4,0,29,11,2.6363636363636362
Lukid,Fluxo,3,0,1,10,1,4,1,1,11,0.09090909090909091
Rappz,Fluxo,4,2,0,10,2,4,0,-8,11,-0.7272727272727273
Mitrix,Fluxo,16,3,5,10,0,4,0,65,11,5.909090909090909
Hash,Fluxo,8,3,0,9,1,4,0,16,11,1.4545454545454546
