Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Lagonis,Liquid,7,4,1,8,0,5,1,27,12,2.25
Nesk,Liquid,13,3,2,11,2,5,0,39,12,3.25
Paluh,Liquid,10,1,1,8,1,5,0,35,12,2.9166666666666665
Resetz,Liquid,2,2,1,10,0,5,0,-10,12,-0.8333333333333334
Maia,Liquid,7,3,2,10,2,5,0,12,12,1.0
Ask,Black Dragons,8,3,2,7,0,7,0,34,10,3.4
Loira,Black Dragons,11,3,2,6,1,7,0,50,10,5.0
Guto,Black Dragons,9,3,1,7,0,7,0,37,10,3.7
Nuxga,Black Dragons,7,2,1,6,1,7,2,45,10,4.5
Florio,Black Dragons,7,1,1,7,1,7,0,27,10,2.7
Psycho,NiP,8,3,0,7,1,7,0,28,12,2.3333333333333335
Pino,NiP,10,5,2,8,1,7,0,37,12,3.0833333333333335
Muzi,NiP,5,1,2,9,1,7,1,21,12,1.75
Wizard,NiP,12,7,1,7,2,7,0,44,12,3.6666666666666665
Kondz,NiP,12,7,0,8,2,7,0,39,12,3.25
Arthur,E1,9,1,1,8,0,3,1,36,10,3.6
Flastry,E1,7,2,0,9,0,3,1,20,10,2.0
Emptz,E1,10,7,1,8,3,3,0,21,10,2.1
Stk,E1,1,0,0,9,1,3,0,-18,10,-1.8
Peres,E1,6,3,1,8,3,3,0,5,10,0.5
Vitaking,FaZe,8,6,1,7,1,7,0,27,11,2.4545454545454546
Handy,FaZe,9,2,1,8,2,7,0,31,11,2.8181818181818183
Cyber,FaZe,5,3,0,7,3,7,0,9,11,0.8181818181818182
Soulz,FaZe,10,5,1,8,1,7,0,35,11,3.1818181818181817
Kds,FaZe,10,4,1,7,0,7,0,41,11,3.727272727272727
Volpz,W7M,12,5,1,6,0,4,0,47,11,4.2727272727272725
Lobin,W7M,8,3,1,11,1,4,0,12,11,1.0909090909090908
Dash,W7M,5,2,1,9,2,4,0,2,11,0.18181818181818182
Dotz,W7M,5,0,2,8,0,4,1,21,11,1.9090909090909092
Dodez,W7M,7,5,2,8,1,4,0,16,11,1.4545454545454546
Lenda,Keyd Stars,5,3,0,6,1,7,0,16,9,1.7777777777777777
Stemp,Keyd Stars,7,4,1,7,2,7,0,22,9,2.4444444444444446
Daffodil,Keyd Stars,4,2,1,4,1,7,0,20,9,2.2222222222222223
Hatez,Keyd Stars,16,10,2,2,0,7,0,82,9,9.11111111111111
Hornet,Keyd Stars,7,2,1,7,0,7,0,28,9,3.111111111111111
Rare,MIBR,9,5,1,8,1,4,2,40,11,3.6363636363636362
Gomes,MIBR,7,3,0,9,0,4,0,13,11,1.1818181818181819
Yektz,MIBR,6,4,0,8,3,4,0,4,11,0.36363636363636365
Semper,MIBR,6,3,2,9,2,4,0,8,11,0.7272727272727273
Bullet,MIBR,6,3,1,9,1,4,1,16,11,1.4545454545454546
Herdz,Furia,12,5,2,6,1,7,0,53,11,4.818181818181818
Kheyze,Furia,8,2,0,7,2,7,0,27,11,2.4545454545454546
Jv92,Furia,5,2,1,7,0,7,0,18,11,1.6363636363636365
Felipox,Furia,8,4,3,7,0,7,0,35,11,3.1818181818181817
Nade,Furia,10,3,1,7,1,7,0,40,11,3.6363636363636362
Astro,Fluxo,10,5,0,7,0,2,0,28,9,3.111111111111111
Lukid,Fluxo,2,0,1,8,2,2,0,-12,9,-1.3333333333333333
Rappz,Fluxo,4,4,1,8,1,2,0,-4,9,-0.4444444444444444
Mitrix,Fluxo,6,4,1,7,1,2,1,17,9,1.8888888888888888
Hash,Fluxo,4,2,1,9,1,2,0,-5,9,-0.5555555555555556
