Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Lagonis,Liquid,20,9,3,25,2,20,1,66,38,1.736842105263158
Nesk,Liquid,34,17,6,29,3,20,0,112,38,2.9473684210526314
Paluh,Liquid,24,7,4,23,7,20,0,78,38,2.0526315789473686
Resetz,Liquid,34,12,1,24,2,20,1,132,38,3.473684210526316
Maia,Liquid,27,8,5,26,5,20,0,89,38,2.3421052631578947
Ask,Black Dragons,31,15,9,20,1,16,1,136,33,4.121212121212121
Loira,Black Dragons,26,11,6,24,5,16,1,89,33,2.696969696969697
Guto,Black Dragons,23,13,2,24,3,16,1,68,33,2.0606060606060606
Nuxga,Black Dragons,19,9,1,23,1,16,1,57,33,1.7272727272727273
Florio,Black Dragons,16,7,3,21,2,16,1,52,33,1.5757575757575757
Psycho,NiP,0,0,0,0,0,0,0,0,0,0
Pino,NiP,0,0,0,0,0,0,0,0,0,0
Muzi,NiP,0,0,0,0,0,0,0,0,0,0
Wizard,NiP,0,0,0,0,0,0,0,0,0,0
Kondz,NiP,0,0,0,0,0,0,0,0,0,0
Volpz,W7M,24,12,7,30,5,18,1,66,38,1.736842105263158
Lobin,W7M,26,16,1,25,4,18,0,69,38,1.8157894736842106
Dash,W7M,26,15,4,26,3,18,0,75,38,1.9736842105263157
Dotz,W7M,18,12,3,28,4,18,2,44,38,1.1578947368421053
Dodez,W7M,33,13,4,30,3,18,0,100,38,2.6315789473684212
Lenda,Keyd Stars,0,0,0,0,0,0,0,0,0,0
Stemp,Keyd Stars,0,0,0,0,0,0,0,0,0,0
Daffodil,Keyd Stars,0,0,0,0,0,0,0,0,0,0
Hatez,Keyd Stars,0,0,0,0,0,0,0,0,0,0
Hornet,Keyd Stars,0,0,0,0,0,0,0,0,0,0
Rare,MIBR,0,0,0,0,0,0,0,0,0,0
Gomes,MIBR,0,0,0,0,0,0,0,0,0,0
Yektz,MIBR,0,0,0,0,0,0,0,0,0,0
Semper,MIBR,0,0,0,0,0,0,0,0,0,0
Bullet,MIBR,0,0,0,0,0,0,0,0,0,0
Astro,Fluxo,20,7,4,27,8,17,0,38,33,1.1515151515151516
Lukid,Fluxo,26,12,1,19,2,17,0,93,33,2.8181818181818183
Rappz,Fluxo,25,11,2,20,1,17,1,98,33,2.9696969696969697
Mitrix,Fluxo,15,12,2,26,5,17,0,13,33,0.3939393939393939
Hash,Fluxo,26,7,3,23,5,17,0,84,33,2.5454545454545454
Natan,E1 Academy,0,0,0,0,0,0,0,0,0,0
Bokzera,E1 Academy,0,0,0,0,0,0,0,0,0,0
Mr6otlaw,E1 Academy,0,0,0,0,0,0,0,0,0,0
Darkeyes,E1 Academy,0,0,0,0,0,0,0,0,0,0
Kurtz,E1 Academy,0,0,0,0,0,0,0,0,0,0
