Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Lagonis,Liquid,7,4,1,8,0,8,1,33,14,2.357142857142857
Nesk,Liquid,14,8,4,9,2,8,0,55,14,3.9285714285714284
Paluh,Liquid,17,10,1,9,0,8,0,66,14,4.714285714285714
Resetz,Liquid,10,7,1,11,1,8,0,26,14,1.8571428571428572
Maia,Liquid,9,3,3,11,1,8,0,29,14,2.0714285714285716
Ask,Black Dragons,13,6,4,12,1,8,0,45,15,3.0
Loira,Black Dragons,15,9,1,8,2,8,0,56,15,3.7333333333333334
Guto,Black Dragons,12,4,2,10,0,8,0,46,15,3.066666666666667
Nuxga,Black Dragons,9,2,0,9,2,8,2,44,15,2.933333333333333
Florio,Black Dragons,3,0,0,12,3,8,0,-11,15,-0.7333333333333333
Psycho,NiP,4,1,1,10,2,4,0,-5,11,-0.45454545454545453
Pino,NiP,7,2,3,10,3,4,0,11,11,1.0
Muzi,NiP,11,1,1,8,0,4,0,40,11,3.6363636363636362
Wizard,NiP,11,5,0,6,1,4,0,38,11,3.4545454545454546
Kondz,NiP,6,4,0,9,0,4,1,15,11,1.3636363636363635
Arthur,E1,10,3,1,9,1,7,2,50,12,4.166666666666667
Flastry,E1,9,5,0,6,0,7,0,36,12,3.0
Emptz,E1,6,4,2,9,0,7,1,25,12,2.0833333333333335
Stk,E1,11,5,4,7,1,7,0,49,12,4.083333333333333
Peres,E1,10,3,0,8,3,7,0,31,12,2.5833333333333335
Vitaking,FaZe,4,2,0,7,1,7,1,17,11,1.5454545454545454
Handy,FaZe,10,3,1,9,0,7,0,36,11,3.272727272727273
Cyber,FaZe,8,5,1,7,2,7,0,26,11,2.3636363636363638
Soulz,FaZe,11,6,1,7,1,7,1,50,11,4.545454545454546
Kds,FaZe,10,5,3,9,1,7,0,36,11,3.272727272727273
Volpz,W7M,13,7,2,11,2,7,0,39,15,2.6
Lobin,W7M,11,5,1,8,2,7,0,38,15,2.533333333333333
Dash,W7M,7,4,1,11,1,7,0,12,15,0.8
Dotz,W7M,12,5,3,12,2,7,0,35,15,2.3333333333333335
Dodez,W7M,8,1,1,10,0,7,1,33,15,2.2
Lenda,Keyd Stars,5,4,0,5,1,7,0,18,10,1.8
Stemp,Keyd Stars,11,2,1,5,2,7,0,50,10,5.0
Daffodil,Keyd Stars,3,0,0,5,1,7,0,12,10,1.2
Hatez,Keyd Stars,13,4,3,6,1,7,1,69,10,6.9
Hornet,Keyd Stars,5,2,0,6,1,7,0,17,10,1.7
Rare,MIBR,6,2,4,8,2,3,0,14,10,1.4
Gomes,MIBR,7,2,0,7,0,3,0,18,10,1.8
Yektz,MIBR,6,4,0,7,1,3,0,9,10,0.9
Semper,MIBR,4,1,1,8,0,3,0,3,10,0.3
Bullet,MIBR,4,1,1,7,1,3,0,4,10,0.4
Herdz,Furia,15,7,1,12,2,6,0,42,14,3.0
Kheyze,Furia,11,3,1,12,3,6,0,24,14,1.7142857142857142
Jv92,Furia,7,2,0,11,1,6,0,10,14,0.7142857142857143
Felipox,Furia,10,4,2,11,3,6,2,39,14,2.7857142857142856
Nade,Furia,5,0,0,11,1,6,0,2,14,0.14285714285714285
Astro,Fluxo,7,4,0,10,1,5,0,9,12,0.75
Lukid,Fluxo,10,5,0,9,1,5,0,26,12,2.1666666666666665
Rappz,Fluxo,8,3,1,9,2,5,0,18,12,1.5
Mitrix,Fluxo,8,2,1,10,1,5,0,18,12,1.5
Hash,Fluxo,7,1,3,9,2,5,0,19,12,1.5833333333333333
