Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Lagonis,Liquid,3,2,0,9,0,3,1,0,10,0
Nesk,Liquid,6,3,1,9,2,3,1,12,10,1.2
Paluh,Liquid,5,3,0,8,2,3,0,0,10,0
Resetz,Liquid,9,7,1,8,0,3,0,22,10,2.2
Maia,Liquid,8,2,1,8,3,3,0,16,10,1.6
Ask,Black Dragons,5,2,0,9,0,5,0,6,12,0.5
Loira,Black Dragons,11,4,3,10,4,5,0,29,12,2.416666667
Guto,Black Dragons,9,6,1,11,2,5,0,14,12,1.166666667
Nuxga,Black Dragons,6,3,1,9,0,5,0,12,12,1
Florio,Black Dragons,8,2,0,9,1,5,0,19,12,1.583333333
Psycho,NiP,2,1,0,8,1,3,0,-11,10,-1.1
Pino,NiP,6,1,1,7,2,3,1,20,10,2
Muzi,NiP,8,1,1,8,0,3,0,23,10,2.3
Wizard,NiP,3,1,2,10,1,3,0,-8,10,-0.8
Kondz,NiP,9,2,1,8,1,3,0,25,10,2.5
Arthur,E1,6,3,0,3,0,7,3,56,10,5.6
Flastry,E1,8,1,2,6,0,7,0,39,10,3.9
Emptz,E1,6,5,0,7,1,7,0,16,10,1.6
Stk,E1,10,5,1,4,2,7,1,53,10,5.3
Peres,E1,11,6,2,8,2,7,0,39,10,3.9
Vitaking,FaZe,5,4,0,8,2,7,1,15,12,1.25
Handy,FaZe,9,3,1,8,3,7,0,28,12,2.333333333
Cyber,FaZe,8,3,3,11,1,7,1,30,12,2.5
Soulz,FaZe,12,5,1,7,0,7,1,58,12,4.833333333
Kds,FaZe,10,3,1,10,0,7,0,33,12,2.75
Volpz,W7M,13,3,1,5,0,7,0,63,10,6.3
Lobin,W7M,8,1,2,6,1,7,0,37,10,3.7
Dash,W7M,6,3,2,6,0,7,0,27,10,2.7
Dotz,W7M,7,2,1,6,1,7,1,37,10,3.7
Dodez,W7M,8,4,1,8,1,7,0,26,10,2.6
Lenda,Keyd Stars,15,7,1,7,0,5,0,59,12,4.916666667
Stemp,Keyd Stars,5,1,2,10,1,5,0,6,12,0.5
Daffodil,Keyd Stars,7,5,2,10,2,5,0,10,12,0.833333333
Hatez,Keyd Stars,9,4,1,10,2,5,0,19,12,1.583333333
Hornet,Keyd Stars,8,5,0,7,1,5,0,22,12,1.833333333
Rare,MIBR,6,4,0,7,1,7,0,17,12,1.416666667
Gomes,MIBR,15,6,2,8,1,7,0,61,12,5.083333333
Yektz,MIBR,10,3,3,8,0,7,0,43,12,3.583333333
Semper,MIBR,8,3,1,7,1,7,0,30,12,2.5
Bullet,MIBR,9,5,1,9,2,7,0,25,12,2.083333333
Herdz,Furia,20,5,4,10,3,8,0,83,14,5.928571429
Kheyze,Furia,9,2,0,9,2,8,0,28,14,2
Jv92,Furia,7,2,0,9,0,8,0,22,14,1.571428571
Felipox,Furia,13,6,0,7,1,8,0,52,14,3.714285714
Nade,Furia,4,3,1,9,3,8,1,10,14,0.714285714
Astro,Fluxo,6,5,1,9,1,6,1,18,14,1.285714286
Lukid,Fluxo,9,3,0,10,0,6,0,24,14,1.714285714
Rappz,Fluxo,8,2,0,9,0,6,0,23,14,1.642857143
Mitrix,Fluxo,6,4,1,13,3,6,0,-5,14,-0.357142857
Hash,Fluxo,15,5,7,12,1,6,0,58,14,4.142857143
