Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Lagonis,Liquid,0,0,0,0,0,0,0,0,0,0
Nesk,Liquid,0,0,0,0,0,0,0,0,0,0
Paluh,Liquid,0,0,0,0,0,0,0,0,0,0
Resetz,Liquid,0,0,0,0,0,0,0,0,0,0
Maia,Liquid,0,0,0,0,0,0,0,0,0,0
Ask,Black Dragons,25,10,4,32,9,19,0,47,39,1.205128205128205
Loira,Black Dragons,19,7,3,30,9,19,1,32,39,0.8205128205128205
Guto,Black Dragons,31,9,4,28,5,19,0,98,39,2.5128205128205128
Nuxga,Black Dragons,31,15,3,30,1,19,5,132,39,3.3846153846153846
Florio,Black Dragons,22,12,0,25,1,19,0,59,39,1.5128205128205128
Psycho,NiP,0,0,0,0,0,0,0,0,0,0
Pino,NiP,0,0,0,0,0,0,0,0,0,0
Muzi,NiP,0,0,0,0,0,0,0,0,0,0
Wizard,NiP,0,0,0,0,0,0,0,0,0,0
Kondz,NiP,0,0,0,0,0,0,0,0,0,0
Arthur,E1,9,6,2,15,0,5,2,24,19,1.263157894736842
Flastry,E1,10,3,0,16,3,5,1,11,19,0.5789473684210527
Emptz,E1,10,4,0,17,0,5,0,5,19,0.2631578947368421
Stk,E1,11,4,4,16,2,5,0,17,19,0.8947368421052632
Peres,E1,16,5,4,15,4,5,0,40,19,2.1052631578947367
Vitaking,FaZe,16,8,1,10,1,14,1,78,19,4.105263157894737
Handy,FaZe,14,7,1,13,3,14,0,48,19,2.526315789473684
Cyber,FaZe,9,4,3,15,5,14,0,20,19,1.0526315789473684
Soulz,FaZe,22,11,1,7,0,14,0,108,19,5.684210526315789
Kds,FaZe,18,6,3,11,1,14,0,83,19,4.368421052631579
Volpz,W7M,16,6,3,25,4,13,0,23,33,0.696969696969697
Lobin,W7M,27,13,5,27,3,13,0,71,33,2.1515151515151514
Dash,W7M,21,10,2,25,3,13,0,44,33,1.3333333333333333
Dotz,W7M,19,6,3,23,0,13,2,68,33,2.0606060606060606
Dodez,W7M,25,4,5,25,5,13,0,72,33,2.1818181818181817
Lenda,Keyd Stars,26,15,3,26,1,20,1,89,39,2.282051282051282
Stemp,Keyd Stars,26,7,3,26,5,20,0,81,39,2.076923076923077
Daffodil,Keyd Stars,30,16,5,29,3,20,0,91,39,2.3333333333333335
Hatez,Keyd Stars,31,15,12,27,5,20,0,113,39,2.8974358974358974
Hornet,Keyd Stars,31,10,2,19,0,20,3,156,39,4.0
Rare,MIBR,0,0,0,0,0,0,0,0,0,0
Gomes,MIBR,0,0,0,0,0,0,0,0,0,0
Yektz,MIBR,0,0,0,0,0,0,0,0,0,0
Semper,MIBR,0,0,0,0,0,0,0,0,0,0
Bullet,MIBR,0,0,0,0,0,0,0,0,0,0
Herdz,Furia,25,8,5,29,8,20,0,64,33,1.9393939393939394
Kheyze,Furia,23,13,2,22,6,20,0,68,33,2.0606060606060606
Jv92,Furia,27,13,2,20,1,20,0,104,33,3.1515151515151514
Felipox,Furia,28,8,3,19,0,20,0,121,33,3.6666666666666665
Nade,Furia,22,3,3,18,3,20,1,101,33,3.0606060606060606
Astro,Fluxo,0,0,0,0,0,0,0,0,0,0
Lukid,Fluxo,0,0,0,0,0,0,0,0,0,0
Rappz,Fluxo,0,0,0,0,0,0,0,0,0,0
Mitrix,Fluxo,0,0,0,0,0,0,0,0,0,0
Hash,Fluxo,0,0,0,0,0,0,0,0,0,0
