Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Lagonis,Liquid,4,3,0,10,1,5,0,-5,12,-0.4166666666666667
Nesk,Liquid,8,4,3,11,2,5,0,15,12,1.25
Paluh,Liquid,7,2,0,9,0,5,0,16,12,1.3333333333333333
Resetz,Liquid,7,2,1,11,0,5,1,20,12,1.6666666666666667
Maia,Liquid,11,6,3,10,2,5,0,31,12,2.5833333333333335
Ask,Black Dragons,9,5,2,7,0,7,0,37,9,4.111111111111111
Loira,Black Dragons,17,7,2,4,1,7,0,82,9,9.11111111111111
Guto,Black Dragons,4,2,0,5,2,7,0,13,9,1.4444444444444444
Nuxga,Black Dragons,5,1,1,6,0,7,1,30,9,3.3333333333333335
Florio,Black Dragons,5,4,1,3,0,7,0,28,9,3.111111111111111
Psycho,NiP,3,1,0,9,1,4,0,-7,11,-0.6363636363636364
Pino,NiP,9,2,4,9,1,4,0,30,11,2.727272727272727
Muzi,NiP,9,3,0,8,0,4,0,26,11,2.3636363636363638
Wizard,NiP,6,2,2,9,0,4,0,13,11,1.1818181818181819
Kondz,NiP,9,6,2,8,1,4,2,41,11,3.727272727272727
Arthur,E1,12,4,1,8,0,4,1,50,11,4.545454545454546
Flastry,E1,7,1,0,8,0,4,0,18,11,1.6363636363636365
Emptz,E1,2,2,0,9,2,4,0,-15,11,-1.3636363636363635
Stk,E1,1,0,0,10,3,4,0,-23,11,-2.090909090909091
Peres,E1,12,5,4,10,1,4,0,39,11,3.5454545454545454
Vitaking,FaZe,4,2,0,10,1,7,0,0,12,0.0
Handy,FaZe,8,2,0,7,3,7,0,25,12,2.0833333333333335
Cyber,FaZe,14,4,2,8,2,7,0,56,12,4.666666666666667
Soulz,FaZe,17,7,2,5,0,7,0,81,12,6.75
Kds,FaZe,8,5,1,7,1,7,0,28,12,2.3333333333333335
Volpz,W7M,9,4,1,6,1,7,0,37,11,3.3636363636363638
Lobin,W7M,9,4,2,7,0,7,0,38,11,3.4545454545454546
Dash,W7M,7,4,0,6,1,7,0,25,11,2.272727272727273
Dotz,W7M,10,3,2,8,2,7,0,37,11,3.3636363636363638
Dodez,W7M,9,2,1,6,1,7,0,39,11,3.5454545454545454
Lenda,Keyd Stars,3,0,0,7,0,2,0,-2,9,-0.2222222222222222
Stemp,Keyd Stars,3,1,2,9,2,2,0,-9,9,-1.0
Daffodil,Keyd Stars,6,2,0,7,0,2,0,11,9,1.2222222222222223
Hatez,Keyd Stars,8,2,0,8,3,2,0,12,9,1.3333333333333333
Hornet,Keyd Stars,5,4,1,9,1,2,1,6,9,0.6666666666666666
Rare,MIBR,15,12,1,5,0,7,1,72,11,6.545454545454546
Gomes,MIBR,8,3,1,9,1,7,0,24,11,2.1818181818181817
Yektz,MIBR,6,2,2,9,1,7,0,17,11,1.5454545454545454
Semper,MIBR,3,1,1,11,2,7,0,-7,11,-0.6363636363636364
Bullet,MIBR,9,4,1,7,1,7,0,34,11,3.090909090909091
Herdz,Furia,9,2,0,9,2,7,0,26,11,2.3636363636363638
Kheyze,Furia,8,4,2,7,0,7,0,33,11,3.0
Jv92,Furia,7,6,0,8,3,7,0,13,11,1.1818181818181819
Felipox,Furia,14,6,1,6,2,7,0,58,11,5.2727272727272725
Nade,Furia,5,1,0,6,1,7,0,18,11,1.6363636363636365
Astro,Fluxo,10,4,3,8,1,4,1,42,11,3.8181818181818183
Lukid,Fluxo,8,1,0,8,1,4,1,29,11,2.6363636363636362
Rappz,Fluxo,6,2,0,6,0,4,0,18,11,1.6363636363636365
Mitrix,Fluxo,7,4,1,9,2,4,1,18,11,1.6363636363636365
Hash,Fluxo,10,4,1,10,2,4,0,22,11,2.0
