Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Biboo,Wolves,9,6,1,7,1,5,0,28,12,2.3333333333333335
P4,Wolves,5,3,1,9,2,5,0,3,12,0.25
Mowwwgli,Wolves,15,8,3,10,2,5,0,49,12,4.083333333333333
Shinka,Wolves,2,1,0,10,0,5,0,-11,12,-0.9166666666666666
Deadshot,Wolves,7,3,1,8,1,5,1,26,12,2.1666666666666665
Adrian,Secret,10,6,1,4,0,7,3,72,9,8.0
Gruby,Secret,6,3,0,6,1,7,0,21,9,2.3333333333333335
Savage,Secret,7,3,2,7,1,7,0,27,9,3.0
Jume,Secret,9,9,0,7,2,7,0,25,9,2.7777777777777777
Miracle,Secret,7,4,1,7,1,7,0,24,9,2.6666666666666665
Leongids,Fnatic,10,3,1,15,4,7,0,10,15,0.6666666666666666
Tyrant,Fnatic,6,3,0,12,3,7,0,-1,15,-0.06666666666666667
Jigsaw,Fnatic,14,8,2,11,0,7,0,47,15,3.1333333333333333
Deapek,Fnatic,6,2,2,10,0,7,1,24,15,1.6
Jeggz,Fnatic,12,5,2,11,1,7,0,38,15,2.533333333333333
Pasha,Virtus Pro,0,0,0,0,0,0,0,0,0,0
Joystick,Virtus Pro,0,0,0,0,0,0,0,0,0,0
Dan,Virtus Pro,0,0,0,0,0,0,0,0,0,0
Always,Virtus Pro,0,0,0,0,0,0,0,0,0,0
Sheppard,Virtus Pro,0,0,0,0,0,0,0,0,0,0
Azzr,ITB,12,3,3,7,2,7,0,52,12,4.333333333333333
Creedz,ITB,10,4,0,9,1,7,0,31,12,2.5833333333333335
Noa,ITB,12,5,3,7,1,7,0,52,12,4.333333333333333
Kendrew,ITB,5,2,0,9,2,7,0,6,12,0.5
Oscr,ITB,5,3,0,6,0,7,0,18,12,1.5
Shaiiko,BDS,10,3,3,7,0,7,0,46,10,4.6
Brid,BDS,6,3,0,5,0,7,1,34,10,3.4
Likefac,BDS,9,5,1,7,1,7,1,41,10,4.1
Yuzus,BDS,13,7,0,4,1,7,0,58,10,5.8
Solotov,BDS,4,2,1,8,3,7,0,4,10,0.4
Kanto,Wylde,2,0,1,10,1,3,0,-14,10,-1.4
Nelo,Wylde,6,4,1,8,2,3,0,6,10,0.6
Teb,Wylde,9,4,2,8,2,3,0,23,10,2.3
Lollo,Wylde,7,2,0,8,0,3,0,15,10,1.5
Pacbull,Wylde,7,5,1,8,0,3,1,22,10,2.2
Skyz,Ence,7,3,1,8,2,2,0,10,9,1.1111111111111112
Jaks,Ence,0,0,0,0,0,2,0,4,9,0.4444444444444444
Nayqo,Ence,8,3,2,8,1,2,0,19,9,2.111111111111111
Frenchy,Ence,8,5,1,7,0,2,0,20,9,2.2222222222222223
Raikoss,Ence,5,3,1,8,1,2,0,2,9,0.2222222222222222
Alemao,G2,8,3,1,10,2,8,0,21,15,1.4
Benja,G2,20,8,3,10,1,8,1,90,15,6.0
Doki,G2,11,6,2,9,1,8,0,40,15,2.6666666666666665
Uuno,G2,11,3,1,11,2,8,3,57,15,3.8
Virtue,G2,10,8,1,9,1,8,0,31,15,2.066666666666667
Azoxx,Ence,3,1,0,8,0,2,0,-6,9,-0.6666666666666666
