Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Biboo,Wolves,13,6,0,17,2,7,1,26,21,1.2380952380952381
P4,Wolves,14,5,1,17,3,7,1,32,21,1.5238095238095237
Mowwwgli,Wolves,15,6,5,19,6,7,0,24,21,1.1428571428571428
Shinka,Wolves,12,7,1,15,2,7,1,28,21,1.3333333333333333
Deadshot,Wolves,9,3,1,17,0,7,0,7,21,0.3333333333333333
Adrian,Secret,10,3,0,20,4,10,1,7,24,0.2916666666666667
Gruby,Secret,13,6,3,18,3,10,1,33,24,1.375
Savage,Secret,20,12,2,19,3,10,0,49,24,2.0416666666666665
Jume,Secret,17,9,2,19,2,10,0,39,24,1.625
Miracle,Secret,16,11,2,19,3,10,2,46,24,1.9166666666666667
Leongids,Fnatic,17,13,2,18,0,8,0,38,22,1.7272727272727273
Tyrant,Fnatic,14,5,2,18,3,8,0,25,22,1.1363636363636365
Jigsaw,Fnatic,18,5,6,16,3,8,1,67,22,3.0454545454545454
Deapek,Fnatic,12,5,1,16,4,8,0,17,22,0.7727272727272727
Jeggz,Fnatic,14,5,1,17,0,8,1,40,22,1.8181818181818181
Pasha,Virtus Pro,0,0,0,0,0,0,0,0,0,0
Joystick,Virtus Pro,0,0,0,0,0,0,0,0,0,0
Dan,Virtus Pro,0,0,0,0,0,0,0,0,0,0
Always,Virtus Pro,0,0,0,0,0,0,0,0,0,0
Sheppard,Virtus Pro,0,0,0,0,0,0,0,0,0,0
Azzr,ITB,20,8,3,17,0,14,0,75,24,3.125
Creedz,ITB,19,7,1,16,3,14,1,72,24,3.0
Noa,ITB,24,7,7,15,4,14,1,110,24,4.583333333333333
Kendrew,ITB,10,5,0,15,2,14,3,48,24,2.0
Oscr,ITB,23,14,4,14,0,14,1,103,24,4.291666666666667
Shaiiko,BDS,22,13,5,11,2,14,0,98,21,4.666666666666667
Brid,BDS,8,3,0,12,2,14,2,41,21,1.9523809523809523
Likefac,BDS,21,12,3,14,2,14,0,81,21,3.857142857142857
Yuzus,BDS,22,13,3,12,0,14,0,95,21,4.523809523809524
Solotov,BDS,12,3,2,14,2,14,0,43,21,2.0476190476190474
Kanto,Wylde,0,0,0,0,0,0,0,0,0,0
Nelo,Wylde,0,0,0,0,0,0,0,0,0,0
Teb,Wylde,0,0,0,0,0,0,0,0,0,0
Lollo,Wylde,0,0,0,0,0,0,0,0,0,0
Pacbull,Wylde,0,0,0,0,0,0,0,0,0,0
Skyz,Ence,0,0,0,0,0,0,0,0,0,0
Jaks,Ence,0,0,0,0,0,0,0,0,0,0
Nayqo,Ence,0,0,0,0,0,0,0,0,0,0
Frenchy,Ence,0,0,0,0,0,0,0,0,0,0
Raikoss,Ence,0,0,0,0,0,0,0,0,0,0
Alemao,G2,21,11,2,16,3,14,0,72,22,3.272727272727273
Benja,G2,15,8,2,11,1,14,0,64,22,2.909090909090909
Doki,G2,18,8,4,18,8,14,1,56,22,2.5454545454545454
Uuno,G2,12,2,1,15,0,14,2,59,22,2.6818181818181817
Virtue,G2,18,4,1,14,0,14,0,74,22,3.3636363636363638
