Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Biboo,Wolves,21,11,2,12,1,14,1,96,22,4.363636363636363
P4,Wolves,15,10,3,15,1,14,0,52,22,2.3636363636363638
Mowwwgli,Wolves,22,5,7,16,0,14,0,99,22,4.5
Shinka,Wolves,12,0,0,14,2,14,1,50,22,2.272727272727273
Deadshot,Wolves,19,7,4,12,2,14,0,84,22,3.8181818181818183
Leongids,Fnatic,17,5,3,23,2,11,1,43,30,1.4333333333333333
Tyrant,Fnatic,23,13,5,24,2,11,0,58,30,1.9333333333333333
Jigsaw,Fnatic,20,6,4,20,7,11,0,50,30,1.6666666666666667
Deapek,Fnatic,22,11,3,19,0,11,0,70,30,2.3333333333333335
Jeggz,Fnatic,15,6,2,24,2,11,1,27,30,0.9
Pasha,Virtus Pro,28,12,6,20,1,11,0,100,26,3.8461538461538463
Joystick,Virtus Pro,17,7,2,20,4,11,0,36,26,1.3846153846153846
Dan,Virtus Pro,17,10,2,18,2,11,1,51,26,1.9615384615384615
Always,Virtus Pro,10,5,1,18,6,11,1,11,26,0.4230769230769231
Sheppard,Virtus Pro,22,7,1,17,1,11,0,74,26,2.8461538461538463
Kanto,Wylde,13,3,4,18,4,9,0,26,23,1.1304347826086956
Nelo,Wylde,0,0,0,0,0,9,0,18,23,0.782608695652174
Teb,Wylde,18,5,1,17,3,9,0,48,23,2.0869565217391304
Lollo,Wylde,18,7,0,16,2,9,0,49,23,2.130434782608696
Pacbull,Wylde,9,6,1,18,6,9,1,1,23,0.043478260869565216
Dodoo,Wylde,18,5,2,17,0,9,2,72,23,3.130434782608696
Skyz,Ence,20,11,1,18,1,15,0,65,26,2.5
Jaks,Ence,15,7,3,18,1,15,1,56,26,2.1538461538461537
Nayqo,Ence,23,9,4,17,6,15,1,89,26,3.423076923076923
Frenchy,Ence,0,0,0,0,0,15,0,30,26,1.1538461538461537
Raikoss,Ence,17,6,2,19,1,15,2,70,26,2.6923076923076925
Azoxx,Ence,16,8,3,20,3,15,0,42,26,1.6153846153846154
Alemao,G2,12,5,1,17,2,14,1,38,23,1.6521739130434783
Benja,G2,22,8,4,14,2,14,0,92,23,4.0
Doki,G2,25,12,6,14,2,14,2,123,23,5.3478260869565215
Uuno,G2,11,5,1,17,1,14,0,27,23,1.173913043478261
Virtue,G2,16,8,3,14,1,14,0,62,23,2.6956521739130435
Sloth,Forgotten Days,24,11,4,22,7,19,0,75,30,2.5
Astro,Forgotten Days,29,12,3,18,1,19,0,121,30,4.033333333333333
Hungry,Forgotten Days,18,11,0,17,0,19,2,82,30,2.7333333333333334
Dora,Forgotten Days,21,13,2,18,4,19,1,80,30,2.6666666666666665
Yzn,Forgotten Days,18,10,4,22,5,19,0,50,30,1.6666666666666667
Stiz,Make Your Destiny,13,5,0,18,1,8,2,36,22,1.6363636363636365
Bbyshark,Make Your Destiny,12,5,1,17,5,8,1,20,22,0.9090909090909091
Juuhaa,Make Your Destiny,14,6,0,19,4,8,0,15,22,0.6818181818181818
Radenty,Make Your Destiny,14,7,1,16,3,8,1,35,22,1.5909090909090908
Lasmooo,Make Your Destiny,16,4,4,19,3,8,0,37,22,1.6818181818181819
