Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Biboo,Wolves,9,5,1,4,0,7,0,44,8,5.5
P4,Wolves,8,2,1,4,0,7,0,42,8,5.25
Mowwwgli,Wolves,7,2,1,6,0,7,0,31,8,3.875
Shinka,Wolves,2,1,0,2,1,7,0,15,8,1.875
Deadshot,Wolves,8,3,3,5,1,7,0,40,8,5
Adrian,Secret,3,0,1,8,1,2,1,3,9,0.3333333333333333
Gruby,Secret,1,0,0,8,1,2,0,-17,9,-1.888888889
Savage,Secret,8,3,1,8,1,2,0,17,9,1.8888888888888888
Jume,Secret,2,1,1,9,3,2,0,-18,9,-2
Miracle,Secret,8,4,0,7,0,2,0,19,9,2.111111111111111
Leongids,Fnatic,15,5,1,3,0,7,1,85,9,9.444444444444445
Tyrant,Fnatic,7,2,1,5,1,7,0,32,9,3.5555555555555554
Jigsaw,Fnatic,6,2,1,5,1,7,0,27,9,3
Deapek,Fnatic,5,2,1,5,1,7,0,22,9,2.4444444444444446
Jeggz,Fnatic,7,3,2,4,0,7,0,38,9,4.222222222222222
Pasha,Virtus Pro,6,3,1,10,1,5,0,7,12,0.5833333333333334
Joystick,Virtus Pro,4,3,1,11,3,5,0,-10,12,-0.833333333
Dan,Virtus Pro,8,5,1,9,1,5,0,18,12,1.5
Always,Virtus Pro,8,3,0,8,2,5,0,19,12,1.5833333333333333
Sheppard,Virtus Pro,12,5,1,7,1,5,1,52,12,4.333333333333333
Azzr,ITB,13,10,3,4,1,7,0,61,9,6.777777777777778
Creedz,ITB,6,1,1,8,0,7,0,21,9,2.3333333333333335
Noa,ITB,5,1,0,6,3,7,0,14,9,1.5555555555555556
Kendrew,ITB,5,3,1,5,0,7,1,31,9,3.4444444444444446
Oscr,ITB,7,5,0,5,0,7,1,37,9,4.111111111111111
Shaiiko,BDS,11,6,1,7,0,7,1,52,12,4.333333333333333
Brid,BDS,7,3,1,9,0,7,1,29,12,2.4166666666666665
Likefac,BDS,7,3,2,8,2,7,0,22,12,1.8333333333333333
Yuzus,BDS,13,7,1,6,0,7,0,56,12,4.666666666666667
Solotov,BDS,7,3,3,8,2,7,1,32,12,2.6666666666666665
Kanto,Wylde,8,6,1,8,2,2,0,12,9,1.3333333333333333
Nelo,Wylde,4,1,1,7,0,2,0,4,9,0.4444444444444444
Teb,Wylde,6,1,1,8,1,2,0,9,9,1
Lollo,Wylde,5,2,0,7,1,2,0,4,9,0.4444444444444444
Pacbull,Wylde,6,4,1,7,1,2,0,9,9,1
Skyz,Ence,0,0,0,0,0,0,0,0,0,0
Jaks,Ence,0,0,0,0,0,0,0,0,0,0
Nayqo,Ence,0,0,0,0,0,0,0,0,0,0
Frenchy,Ence,0,0,0,0,0,0,0,0,0,0
Raikoss,Ence,0,0,0,0,0,0,0,0,0,0
Alemao,G2,6,2,0,6,1,1,0,10,8,1.25
Benja,G2,2,2,0,7,1,1,0,-13,8,-1.625
Doki,G2,4,1,1,7,2,1,0,-2,8,-0.25
Uuno,G2,5,1,0,7,2,1,0,1,8,0.125
Virtue,G2,4,1,1,7,0,1,0,2,8,0.25
Azoxx,Ence,0,0,0,0,0,0,0,0,0,0
