Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Biboo,Wolves,17,5,3,19,0,14,1,65,29,2.2413793103448274
P4,Wolves,20,7,3,25,4,14,2,60,29,2.0689655172413794
Mowwwgli,Wolves,18,10,6,25,4,14,0,37,29,1.2758620689655173
Shinka,Wolves,17,10,0,21,0,14,0,40,29,1.3793103448275863
Deadshot,Wolves,25,13,4,21,5,14,0,75,29,2.586206896551724
Adrian,Secret,0,0,0,0,0,0,0,0,0,0
Gruby,Secret,0,0,0,0,0,0,0,0,0,0
Savage,Secret,0,0,0,0,0,0,0,0,0,0
Jume,Secret,0,0,0,0,0,0,0,0,0,0
Miracle,Secret,0,0,0,0,0,0,0,0,0,0
Leongids,Fnatic,15,6,0,21,1,15,0,34,29,1.1724137931034482
Tyrant,Fnatic,28,12,7,21,4,15,0,101,29,3.4827586206896552
Jigsaw,Fnatic,25,9,2,20,6,15,0,78,29,2.689655172413793
Deapek,Fnatic,21,13,2,19,1,15,1,75,29,2.586206896551724
Jeggz,Fnatic,22,5,2,16,4,15,0,83,29,2.8620689655172415
Pasha,Virtus Pro,0,0,0,0,0,0,0,0,0,0
Joystick,Virtus Pro,0,0,0,0,0,0,0,0,0,0
Dan,Virtus Pro,0,0,0,0,0,0,0,0,0,0
Always,Virtus Pro,0,0,0,0,0,0,0,0,0,0
Sheppard,Virtus Pro,0,0,0,0,0,0,0,0,0,0
Azzr,ITB,19,4,5,23,4,19,1,70,35,2.0
Creedz,ITB,27,15,5,26,4,19,2,98,35,2.8
Noa,ITB,28,8,2,28,8,19,0,74,35,2.1142857142857143
Kendrew,ITB,22,13,1,21,1,19,1,80,35,2.2857142857142856
Oscr,ITB,26,14,1,23,4,19,0,79,35,2.257142857142857
Shaiiko,BDS,0,0,0,0,0,0,0,0,0,0
Brid,BDS,0,0,0,0,0,0,0,0,0,0
Likefac,BDS,0,0,0,0,0,0,0,0,0,0
Yuzus,BDS,0,0,0,0,0,0,0,0,0,0
Solotov,BDS,0,0,0,0,0,0,0,0,0,0
Kanto,Wylde,0,0,0,0,0,0,0,0,0,0
Nelo,Wylde,0,0,0,0,0,0,0,0,0,0
Teb,Wylde,0,0,0,0,0,0,0,0,0,0
Lollo,Wylde,0,0,0,0,0,0,0,0,0,0
Pacbull,Wylde,0,0,0,0,0,0,0,0,0,0
Skyz,Ence,0,0,0,0,0,0,0,0,0,0
Jaks,Ence,0,0,0,0,0,0,0,0,0,0
Nayqo,Ence,0,0,0,0,0,0,0,0,0,0
Frenchy,Ence,0,0,0,0,0,0,0,0,0,0
Raikoss,Ence,0,0,0,0,0,0,0,0,0,0
Alemao,G2,31,12,5,22,1,16,2,133,35,3.8
Benja,G2,24,9,2,27,5,16,0,56,35,1.6
Doki,G2,25,7,9,25,2,16,0,89,35,2.5428571428571427
Uuno,G2,18,5,2,22,3,16,1,57,35,1.6285714285714286
Virtue,G2,23,13,3,26,3,16,1,64,35,1.8285714285714285
