Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Biboo,Wolves,4,4,0,9,1,5,0,-3,12,-0.25
P4,Wolves,9,5,0,8,2,5,1,30,12,2.5
Mowwwgli,Wolves,12,6,2,8,1,5,0,42,12,3.5
Shinka,Wolves,3,2,0,10,0,5,1,1,12,0.083333333
Deadshot,Wolves,8,4,3,7,3,5,0,25,12,2.083333333
Adrian,Secret,8,4,1,7,1,7,0,29,12,2.416666667
Gruby,Secret,10,4,2,6,2,7,0,42,12,3.5
Savage,Secret,11,4,3,8,2,7,1,51,12,4.25
Jume,Secret,9,5,1,6,0,7,0,38,12,3.166666667
Miracle,Secret,4,1,0,9,0,7,0,6,12,0.5
Leongids,Fnatic,7,3,2,10,1,5,0,14,12,1.166666667
Tyrant,Fnatic,9,4,1,9,2,5,0,22,12,1.833333333
Jigsaw,Fnatic,10,4,3,9,1,5,0,33,12,2.75
Deapek,Fnatic,5,2,0,7,0,5,2,28,12,2.333333333
Jeggz,Fnatic,5,1,1,9,1,5,0,7,12,0.583333333
Pasha,Virtus Pro,9,4,1,7,0,7,0,36,10,3.6
Joystick,Virtus Pro,5,1,2,7,3,7,0,15,10,1.5
Dan,Virtus Pro,10,7,0,6,1,7,0,37,10,3.7
Always,Virtus Pro,5,2,2,8,0,7,1,25,10,2.5
Sheppard,Virtus Pro,10,4,1,4,0,7,1,58,10,5.8
Azzr,ITB,8,5,0,8,0,7,0,25,11,2.272727273
Creedz,ITB,7,2,2,8,2,7,0,23,11,2.090909091
Noa,ITB,10,6,2,6,2,7,0,40,11,3.636363636
Kendrew,ITB,7,4,0,7,2,7,1,28,11,2.545454545
Oscr,ITB,8,5,0,4,1,7,1,43,11,3.909090909
Shaiiko,BDS,10,3,2,8,1,7,0,39,12,3.25
Brid,BDS,7,3,1,6,1,7,2,44,12,3.666666667
Likefac,BDS,10,5,1,9,4,7,1,34,12,2.833333333
Yuzus,BDS,5,2,0,6,1,7,0,17,12,1.416666667
Solotov,BDS,12,2,1,7,0,7,0,53,12,4.416666667
Kanto,Wylde,7,4,1,9,3,3,0,6,10,0.6
Nelo,Wylde,0,0,0,0,0,3,0,6,10,0.6
Teb,Wylde,3,0,0,8,0,3,0,-3,10,-0.3
Lollo,Wylde,12,5,2,8,0,3,0,41,10,4.1
Pacbull,Wylde,3,2,0,7,0,3,0,-2,10,-0.2
Skyz,Ence,11,5,5,9,1,4,0,39,11,3.545454545
Jaks,Ence,2,1,0,7,2,4,0,-8,11,-0.727272727
Nayqo,Ence,8,3,1,8,0,4,0,23,11,2.090909091
Frenchy,Ence,0,0,0,0,0,0,0,0,0,0
Raikoss,Ence,9,1,1,8,0,4,0,30,11,2.727272727
Alemao,G2,0,0,0,0,0,0,0,0,0,0
Benja,G2,0,0,0,0,0,0,0,0,0,0
Doki,G2,0,0,0,0,0,0,0,0,0,0
Uuno,G2,0,0,0,0,0,0,0,0,0,0
Virtue,G2,0,0,0,0,0,0,0,0,0,0
Azoxx,Ence,2,2,0,7,1,4,0,-7,11,-0.636363636
