Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Biboo,Wolves,9,4,1,10,2,8,0,25,15,1.6666666666666667
P4,Wolves,6,0,0,9,1,8,1,25,15,1.6666666666666667
Mowwwgli,Wolves,12,5,4,11,3,8,0,40,15,2.6666666666666665
Shinka,Wolves,7,0,0,8,1,8,1,33,15,2.2
Deadshot,Wolves,14,6,1,7,1,8,0,59,15,3.933333333333333
Adrian,Secret,0,0,0,0,0,0,0,0,0,0
Gruby,Secret,0,0,0,0,0,0,0,0,0,0
Savage,Secret,0,0,0,0,0,0,0,0,0,0
Jume,Secret,0,0,0,0,0,0,0,0,0,0
Miracle,Secret,0,0,0,0,0,0,0,0,0,0
Leongids,Fnatic,4,2,1,8,2,7,1,14,11,1.2727272727272727
Tyrant,Fnatic,11,7,1,7,1,7,0,41,11,3.727272727272727
Jigsaw,Fnatic,7,3,1,8,1,7,0,22,11,2.0
Deapek,Fnatic,6,4,1,5,1,7,0,25,11,2.272727272727273
Jeggz,Fnatic,11,6,2,5,0,7,0,52,11,4.7272727272727275
Pasha,Virtus Pro,4,1,1,11,2,7,0,-2,15,-0.13333333333333333
Joystick,Virtus Pro,10,3,3,11,3,7,0,28,15,1.8666666666666667
Dan,Virtus Pro,15,10,3,9,1,7,0,56,15,3.7333333333333334
Always,Virtus Pro,7,1,1,12,1,7,0,12,15,0.8
Sheppard,Virtus Pro,12,6,0,8,0,7,0,44,15,2.933333333333333
Azzr,ITB,7,3,0,6,1,4,0,20,11,1.8181818181818181
Creedz,ITB,12,8,3,9,0,4,0,39,11,3.5454545454545454
Noa,ITB,5,2,1,9,1,4,0,4,11,0.36363636363636365
Kendrew,ITB,3,0,0,7,1,4,0,0,11,0.0
Oscr,ITB,6,3,1,8,3,4,1,15,11,1.3636363636363635
Shaiiko,BDS,6,0,2,8,1,7,0,22,9,2.4444444444444446
Brid,BDS,8,5,1,3,0,7,1,50,9,5.555555555555555
Likefac,BDS,10,8,1,4,1,7,0,44,9,4.888888888888889
Yuzus,BDS,10,3,1,4,2,7,0,47,9,5.222222222222222
Solotov,BDS,7,2,0,6,0,7,0,29,9,3.2222222222222223
Kanto,Wylde,12,7,1,10,1,6,0,35,14,2.5
Nelo,Wylde,7,5,0,9,1,6,2,29,14,2.0714285714285716
Teb,Wylde,14,9,2,10,4,6,0,39,14,2.7857142857142856
Lollo,Wylde,11,6,3,12,2,6,0,27,14,1.9285714285714286
Pacbull,Wylde,7,3,0,10,0,6,1,22,14,1.5714285714285714
Skyz,Ence,9,4,2,10,0,8,0,31,14,2.2142857142857144
Jaks,Ence,0,0,0,0,0,8,0,16,14,1.1428571428571428
Nayqo,Ence,12,2,3,11,2,8,1,51,14,3.642857142857143
Frenchy,Ence,8,4,0,9,0,8,2,41,14,2.9285714285714284
Raikoss,Ence,14,4,3,11,2,8,0,51,14,3.642857142857143
Alemao,G2,7,5,0,8,0,2,0,10,9,1.1111111111111112
Benja,G2,3,1,2,9,2,2,0,-9,9,-1.0
Doki,G2,6,3,2,7,3,2,0,8,9,0.8888888888888888
Uuno,G2,5,1,0,9,0,2,0,1,9,0.1111111111111111
Virtue,G2,4,1,0,8,0,2,0,-1,9,-0.1111111111111111
Azoxx,Ence,7,5,0,9,2,8,1,23,14,1.6428571428571428
