Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Biboo,Wolves,5,3,0,7,1,7,0,13,10,1.3
P4,Wolves,5,4,0,6,0,7,2,33,10,3.3
Mowwwgli,Wolves,9,3,2,9,1,7,0,31,10,3.1
Shinka,Wolves,7,4,0,6,2,7,0,23,10,2.3
Deadshot,Wolves,11,2,3,7,1,7,0,50,10,5
Adrian,Secret,12,5,0,8,1,7,3,67,12,5.583333333333333
Gruby,Secret,4,0,0,9,3,7,0,1,12,0.083333333
Savage,Secret,11,6,3,8,1,7,0,43,12,3.5833333333333335
Jume,Secret,7,3,0,6,2,7,0,24,12,2
Miracle,Secret,9,6,1,7,1,7,1,40,12,3.3333333333333335
Leongids,Fnatic,11,5,2,8,1,3,0,34,10,3.4
Tyrant,Fnatic,5,2,0,7,2,3,0,4,10,0.4
Jigsaw,Fnatic,6,1,1,8,1,3,0,11,10,1.1
Deapek,Fnatic,5,1,2,8,0,3,0,10,10,1
Jeggz,Fnatic,8,3,0,6,1,3,0,23,10,2.3
Pasha,Virtus Pro,6,3,1,7,0,5,1,26,12,2.1666666666666665
Joystick,Virtus Pro,10,3,1,9,2,5,0,28,12,2.3333333333333335
Dan,Virtus Pro,7,4,3,9,0,5,0,20,12,1.6666666666666667
Always,Virtus Pro,9,6,2,9,2,5,1,30,12,2.5
Sheppard,Virtus Pro,6,3,1,9,0,5,0,12,12,1
Azzr,ITB,5,2,0,7,0,1,0,4,8,0.5
Creedz,ITB,3,0,1,8,1,1,0,-7,8,-0.875
Noa,ITB,4,1,3,8,1,1,0,1,8,0.125
Kendrew,ITB,5,2,1,7,0,1,0,6,8,0.75
Oscr,ITB,2,2,0,7,1,1,0,-13,8,-1.625
Shaiiko,BDS,6,2,0,5,2,7,0,23,8,2.875
Brid,BDS,6,4,2,3,0,7,2,51,8,6.375
Likefac,BDS,7,2,1,5,2,7,0,30,8,3.75
Yuzus,BDS,7,4,0,3,0,7,1,44,8,5.5
Solotov,BDS,11,5,0,3,1,7,0,53,8,6.625
Kanto,Wylde,0,0,0,0,0,0,0,0,0,0
Nelo,Wylde,0,0,0,0,0,0,0,0,0,0
Teb,Wylde,0,0,0,0,0,0,0,0,0,0
Lollo,Wylde,0,0,0,0,0,0,0,0,0,0
Pacbull,Wylde,0,0,0,0,0,0,0,0,0,0
Skyz,Ence,7,1,0,9,1,3,2,27,10,2.7
Jaks,Ence,0,0,0,0,0,3,0,6,10,0.6
Nayqo,Ence,7,2,2,9,2,3,0,12,10,1.2
Frenchy,Ence,3,1,1,9,1,3,0,-7,10,-0.7
Raikoss,Ence,2,1,0,9,3,3,0,-18,10,-1.8
Alemao,G2,13,6,1,3,1,7,0,64,10,6.4
Benja,G2,4,3,1,7,1,7,0,10,10,1
Doki,G2,13,5,2,5,1,7,0,61,10,6.1
Uuno,G2,9,5,2,5,0,7,3,67,10,6.7
Virtue,G2,5,2,1,7,0,7,0,18,10,1.8
Azoxx,Ence,8,4,0,8,0,3,0,18,10,1.8
