Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Biboo,Wolves,5,3,0,7,1,3,0,5,10,0.5
P4,Wolves,3,1,1,9,3,3,0,-11,10,-1.1
Mowwwgli,Wolves,6,2,2,8,1,3,0,12,10,1.2
Shinka,Wolves,7,2,1,7,0,3,0,20,10,2
Deadshot,Wolves,7,0,1,7,0,3,0,22,10,2.2
Adrian,Secret,5,3,1,6,1,7,0,18,10,1.8
Gruby,Secret,10,4,0,4,0,7,0,48,10,4.8
Savage,Secret,4,1,0,8,3,7,0,3,10,0.3
Jume,Secret,13,5,3,7,1,7,0,57,10,5.7
Miracle,Secret,10,7,0,6,1,7,0,37,10,3.7
Leongids,Fnatic,14,5,1,8,1,8,0,57,14,4.071428571428571
Tyrant,Fnatic,10,3,0,7,1,8,0,40,14,2.857142857142857
Jigsaw,Fnatic,12,6,3,8,1,8,0,50,14,3.5714285714285716
Deapek,Fnatic,5,2,1,8,1,8,1,23,14,1.6428571428571428
Jeggz,Fnatic,9,2,2,7,3,8,0,36,14,2.5714285714285716
Pasha,Virtus Pro,15,10,1,6,0,7,1,71,12,5.916666666666667
Joystick,Virtus Pro,6,2,1,10,1,7,0,12,12,1
Dan,Virtus Pro,7,4,2,9,3,7,0,16,12,1.3333333333333333
Always,Virtus Pro,12,5,2,7,2,7,0,48,12,4
Sheppard,Virtus Pro,5,4,0,8,0,7,2,27,12,2.25
Azzr,ITB,0,0,0,0,0,0,0,0,0,0
Creedz,ITB,0,0,0,0,0,0,0,0,0,0
Noa,ITB,0,0,0,0,0,0,0,0,0,0
Kendrew,ITB,0,0,0,0,0,0,0,0,0,0
Oscr,ITB,0,0,0,0,0,0,0,0,0,0
Shaiiko,BDS,11,5,0,5,2,7,0,45,10,4.5
Brid,BDS,3,2,0,5,0,7,0,12,10,1.2
Likefac,BDS,10,6,3,6,2,7,0,42,10,4.2
Yuzus,BDS,9,4,1,4,0,7,0,45,10,4.5
Solotov,BDS,5,2,1,8,1,7,0,13,10,1.3
Kanto,Wylde,5,1,2,9,1,3,0,5,10,0.5
Nelo,Wylde,3,2,1,9,0,3,0,-6,10,-0.6
Teb,Wylde,11,3,2,7,2,3,0,37,10,3.7
Lollo,Wylde,5,1,0,8,0,3,0,6,10,0.6
Pacbull,Wylde,7,5,1,9,1,3,0,9,10,0.9
Skyz,Ence,16,7,0,9,1,6,2,72,14,5.142857142857143
Jaks,Ence,4,2,0,13,0,6,0,-9,14,-0.642857143
Nayqo,Ence,6,2,3,11,2,6,0,9,14,0.6428571428571429
Frenchy,Ence,0,0,0,0,0,6,0,12,14,0.8571428571428571
Raikoss,Ence,8,4,2,8,2,6,0,24,14,1.7142857142857142
Alemao,G2,10,6,1,7,1,5,0,33,12,2.75
Benja,G2,9,6,1,9,1,5,0,22,12,1.8333333333333333
Doki,G2,8,1,2,11,3,5,0,14,12,1.1666666666666667
Uuno,G2,11,5,1,9,1,5,0,33,12,2.75
Virtue,G2,3,1,1,10,0,5,0,-4,12,-0.333333333
Azoxx,Ence,6,3,2,11,2,6,0,6,14,0.42857142857142855
