Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Asphy,Bleed,16,6,2,32,5,20,1,20,38,0.5263157894736842
Hoven,Bleed,15,10,1,29,4,20,0,12,38,0.3157894736842105
Mentalist,Bleed,17,7,3,25,5,20,2,55,38,1.4473684210526316
Reeps,Bleed,44,22,9,25,4,20,0,173,38,4.552631578947368
Terdsta,Bleed,34,12,3,20,2,20,0,140,38,3.6842105263157894
Brendo,Bliss,19,8,4,21,4,11,0,46,26,1.7692307692307692
Fishoguy,Bliss,17,8,1,19,3,11,1,46,26,1.7692307692307692
Odah,Bliss,17,5,5,21,2,11,0,45,26,1.7307692307692308
Sageon,Bliss,17,9,0,19,5,11,0,31,26,1.1923076923076923
Wettables,Bliss,14,8,0,19,2,11,0,23,26,0.8846153846153846
Beaulo,DarkZero,0,0,0,0,0,0,0,0,0,0
Canadian,DarkZero,0,0,0,0,0,0,0,0,0,0
Nafe,DarkZero,0,0,0,0,0,0,0,0,0,0
Njr,DarkZero,0,0,0,0,0,0,0,0,0,0
Panba,DarkZero,0,0,0,0,0,0,0,0,0,0
Coted,Dplus,11,3,2,16,3,6,0,14,20,0.7
Dmaly,Dplus,5,1,1,18,2,6,1,-12,20,-0.6
Soldier,Dplus,15,8,3,16,0,6,1,45,20,2.25
Woogiman,Dplus,24,11,3,16,1,6,0,77,20,3.85
Yass,Dplus,12,5,1,13,4,6,0,22,20,1.1
Jlad,Falcons,5,1,0,15,3,5,0,-17,19,-0.8947368421052632
Madskills,Falcons,0,0,0,0,0,5,0,10,19,0.5263157894736842
Okillz,Falcons,0,0,0,0,0,5,0,10,19,0.5263157894736842
P9,Falcons,18,9,1,16,4,5,0,37,19,1.9473684210526316
Quibz,Falcons,11,4,1,14,1,5,0,19,19,1.0
Cyber,FaZe,0,0,0,0,0,0,0,0,0,0
Handy,FaZe,0,0,0,0,0,0,0,0,0,0
Kds,FaZe,0,0,0,0,0,0,0,0,0,0
Soulz,FaZe,0,0,0,0,0,0,0,0,0,0
Vitaking,FaZe,0,0,0,0,0,0,0,0,0,0
Arukaze,FearX,17,9,2,16,1,8,0,46,22,2.090909090909091
Demic,FearX,11,6,1,14,3,8,2,35,22,1.5909090909090908
Goodboy,FearX,17,9,3,20,4,8,0,30,22,1.3636363636363635
Mephi,FearX,13,7,1,16,3,8,1,30,22,1.3636363636363635
Rin,FearX,13,6,1,17,3,8,0,20,22,0.9090909090909091
Bgman,Fury,16,7,1,23,3,16,0,32,34,0.9411764705882353
Dark,Fury,20,12,0,26,4,16,0,34,34,1.0
I9,Fury,31,13,4,24,3,16,1,112,34,3.2941176470588234
Krit,Fury,39,21,6,23,5,16,1,147,34,4.323529411764706
Lycolis,Fury,14,7,4,28,4,16,2,27,34,0.7941176470588235
Alemao,G2,16,7,2,15,2,14,0,56,21,2.6666666666666665
Benja,G2,23,15,1,15,1,14,1,91,21,4.333333333333333
Doki,G2,16,8,2,13,5,14,0,55,21,2.619047619047619
Uuno,G2,17,8,3,10,0,14,2,97,21,4.619047619047619
Virtue,G2,20,8,4,14,1,14,0,84,21,4.0
Hashom,Geekay,16,10,1,16,3,7,0,32,21,1.5238095238095237
Srsly,Geekay,8,2,1,19,2,7,0,-7,21,-0.3333333333333333
Nudl,Geekay,18,7,2,19,4,7,2,52,21,2.4761904761904763
Trixd,Geekay,10,4,2,19,1,7,1,13,21,0.6190476190476191
Xke,Geekay,14,6,3,18,2,7,1,34,21,1.619047619047619
Lagonis,Liquid,19,6,3,26,0,18,4,85,38,2.236842105263158
Nesk,Liquid,31,12,2,24,7,18,0,97,38,2.5526315789473686
Paluh,Liquid,37,10,2,23,1,18,0,144,38,3.789473684210526
Resetz,Liquid,20,10,1,26,3,18,1,52,38,1.368421052631579
Volpz,Liquid,24,7,12,27,7,18,0,78,38,2.0526315789473686
Cameraman,LOS,0,0,0,0,0,0,0,0,0,0
Dash,LOS,0,0,0,0,0,0,0,0,0,0
Dotz,LOS,0,0,0,0,0,0,0,0,0,0
Lobin,LOS,0,0,0,0,0,0,0,0,0,0
Maia,LOS,0,0,0,0,0,0,0,0,0,0
Dias,M80,0,0,0,0,0,0,0,0,0,0
Gmz,M80,0,0,0,0,0,0,0,0,0,0
Iconic,M80,0,0,0,0,0,0,0,0,0,0
Spoit,M80,0,0,0,0,0,0,0,0,0,0
Yoggah,M80,0,0,0,0,0,0,0,0,0,0
Kondz,NiP,11,5,3,14,3,14,2,52,22,2.3636363636363638
Muzi,NiP,21,3,4,14,2,14,1,100,22,4.545454545454546
Pino,NiP,19,10,2,15,1,14,0,70,22,3.1818181818181817
Psycho,NiP,15,6,4,15,1,14,0,58,22,2.6363636363636362
Wizard,NiP,17,10,1,13,1,14,2,80,22,3.6363636363636362
Fishlike,Scarz,23,9,5,24,1,18,0,78,34,2.2941176470588234
Pyon,Scarz,17,6,0,20,1,18,1,61,34,1.7941176470588236
Rec,Scarz,38,20,6,26,6,18,0,128,34,3.764705882352941
Taiyou,Scarz,27,16,4,22,4,18,3,113,34,3.323529411764706
Washoy,Scarz,19,7,4,28,3,18,3,66,34,1.9411764705882353
Ambi,Soniqs,17,7,6,17,2,14,0,63,19,3.3157894736842106
Ctzn,Soniqs,25,10,3,6,0,14,0,131,19,6.894736842105263
Geo,Soniqs,7,4,0,11,2,14,1,30,19,1.5789473684210527
Gryxr,Soniqs,14,4,2,10,0,14,1,76,19,4.0
Rexen,Soniqs,15,9,2,13,2,14,0,55,19,2.8947368421052633
Ashn,SSG,18,10,7,17,4,15,0,65,26,2.5
Forrest,SSG,14,5,2,19,4,15,1,42,26,1.6153846153846154
Fultz,SSG,18,14,3,18,1,15,1,64,26,2.4615384615384617
Hotan,SSG,19,11,1,18,1,15,0,60,26,2.3076923076923075
J90,SSG,30,18,3,12,0,15,0,132,26,5.076923076923077
Always,Virtus Pro,21,10,3,26,3,20,0,57,36,1.5833333333333333
Dan,Virtus Pro,32,21,4,22,3,20,0,115,36,3.1944444444444446
Joystick,Virtus Pro,22,7,4,26,6,20,0,61,36,1.6944444444444444
Pasha,Virtus Pro,29,15,6,25,5,20,1,105,36,2.9166666666666665
Sheppard,Virtus Pro,22,7,1,19,1,20,3,110,36,3.0555555555555554
Felipox,W7M,26,9,3,24,2,16,1,91,36,2.5277777777777777
