Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Asphy,Bleed,8,6,2,29,9,18,0,-31,36,-0.8611111111111112
Hoven,Bleed,24,10,2,25,4,18,1,75,36,2.0833333333333335
Mentalist,Bleed,33,14,6,24,1,18,2,141,36,3.9166666666666665
Reeps,Bleed,27,11,5,24,4,18,0,90,36,2.5
Terdsta,Bleed,22,11,2,25,1,18,0,62,36,1.7222222222222223
Brendo,Bliss,25,7,3,32,6,17,0,50,39,1.2820512820512822
Fishoguy,Bliss,21,15,1,27,4,17,3,61,39,1.564102564102564
Odah,Bliss,17,7,4,36,7,17,1,6,39,0.15384615384615385
Sageon,Bliss,34,16,5,29,3,17,0,105,39,2.6923076923076925
Wettables,Bliss,34,22,2,27,2,17,0,101,39,2.58974358974359
Beaulo,DarkZero,14,6,1,16,2,15,0,44,22,2.0
Canadian,DarkZero,18,10,1,11,4,15,3,95,22,4.318181818181818
Nafe,DarkZero,20,7,4,14,3,15,0,83,22,3.772727272727273
Njr,DarkZero,20,10,3,10,1,15,0,94,22,4.2727272727272725
Panba,DarkZero,20,11,1,15,1,15,0,74,22,3.3636363636363638
Coted,Dplus,13,6,0,17,3,6,1,22,20,1.1
Dmaly,Dplus,13,3,3,17,3,6,0,23,20,1.15
Soldier,Dplus,12,4,2,16,1,6,0,22,20,1.1
Woogiman,Dplus,13,1,2,14,1,6,0,36,20,1.8
Yass,Dplus,16,6,4,15,1,6,0,47,20,2.35
Jlad,Falcons,0,0,0,0,0,0,0,0,0,0
Madskills,Falcons,0,0,0,0,0,0,0,0,0,0
Okillz,Falcons,0,0,0,0,0,0,0,0,0,0
P9,Falcons,0,0,0,0,0,0,0,0,0,0
Quibz,Falcons,0,0,0,0,0,0,0,0,0,0
Cyber,FaZe,40,17,8,28,2,21,0,153,39,3.923076923076923
Handy,FaZe,33,11,6,25,4,21,2,141,39,3.6153846153846154
Kds,FaZe,27,12,8,30,5,21,0,81,39,2.076923076923077
Soulz,FaZe,30,18,0,24,4,21,2,110,39,2.8205128205128207
Vitaking,FaZe,22,12,0,25,2,21,1,69,39,1.7692307692307692
Arukaze,FearX,7,2,0,19,2,7,2,2,22,0.09090909090909091
