Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Asphy,Bleed,38,8,3,32,5,25,0,132,45,2.933333333333333
Hoven,Bleed,44,26,4,35,6,25,0,135,45,3.0
Mentalist,Bleed,20,11,0,34,1,25,2,51,45,1.1333333333333333
Reeps,Bleed,42,13,11,29,8,25,1,174,45,3.8666666666666667
Terdsta,Bleed,25,7,1,33,6,25,2,75,45,1.6666666666666667
Brendo,Bliss,62,33,11,42,4,36,1,245,63,3.888888888888889
Fishoguy,Bliss,41,25,3,40,8,36,5,162,63,2.5714285714285716
Odah,Bliss,49,19,6,44,3,36,0,172,63,2.7301587301587302
Sageon,Bliss,40,18,5,41,6,36,1,137,63,2.1746031746031744
Wettables,Bliss,51,28,10,40,5,36,0,189,63,3.0
Beaulo,DarkZero,0,0,0,0,0,0,0,0,0,0
Canadian,DarkZero,0,0,0,0,0,0,0,0,0,0
Nafe,DarkZero,0,0,0,0,0,0,0,0,0,0
Njr,DarkZero,0,0,0,0,0,0,0,0,0,0
Panba,DarkZero,0,0,0,0,0,0,0,0,0,0
Coted,Dplus,0,0,0,0,0,0,0,0,0,0
Dmaly,Dplus,0,0,0,0,0,0,0,0,0,0
Soldier,Dplus,0,0,0,0,0,0,0,0,0,0
Woogiman,Dplus,0,0,0,0,0,0,0,0,0,0
Yass,Dplus,0,0,0,0,0,0,0,0,0,0
Jlad,Falcons,15,4,3,17,2,5,1,40,19,2.1052631578947367
Madskills,Falcons,0,0,0,0,0,5,0,10,19,0.5263157894736842
Okillz,Falcons,0,0,0,0,0,5,0,10,19,0.5263157894736842
P9,Falcons,10,3,1,16,3,5,0,5,19,0.2631578947368421
Quibz,Falcons,17,2,3,16,2,5,0,47,19,2.473684210526316
Cyber,FaZe,0,0,0,0,0,0,0,0,0,0
Handy,FaZe,0,0,0,0,0,0,0,0,0,0
Kds,FaZe,0,0,0,0,0,0,0,0,0,0
Soulz,FaZe,0,0,0,0,0,0,0,0,0,0
Vitaking,FaZe,0,0,0,0,0,0,0,0,0,0
Arukaze,FearX,10,6,2,17,0,8,1,21,22,0.9545454545454546
Demic,FearX,9,3,2,19,0,8,0,5,22,0.22727272727272727
Goodboy,FearX,13,6,2,18,6,8,0,13,22,0.5909090909090909
