Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Asphy,Bleed,0,0,0,0,0,0,0,0,0,0
Hoven,Bleed,0,0,0,0,0,0,0,0,0,0
Mentalist,Bleed,0,0,0,0,0,0,0,0,0,0
Reeps,Bleed,0,0,0,0,0,0,0,0,0,0
Terdsta,Bleed,0,0,0,0,0,0,0,0,0,0
Brendo,Bliss,0,0,0,0,0,0,0,0,0,0
Fishoguy,Bliss,0,0,0,0,0,0,0,0,0,0
Odah,Bliss,0,0,0,0,0,0,0,0,0,0
Sagon,Bliss,0,0,0,0,0,0,0,0,0,0
Wettables,Bliss,0,0,0,0,0,0,0,0,0,0
Beaulo,DarkZero,24,10,2,23,6,17,0,67,31,2.161290322580645
Canadian,DarkZero,17,9,3,22,2,17,5,86,31,2.774193548387097
Nafe,DarkZero,26,17,3,22,1,17,1,93,31,3.0
Njr,DarkZero,29,15,3,19,0,17,0,113,31,3.6451612903225805
Panba,DarkZero,21,10,3,20,8,17,0,59,31,1.903225806451613
Coted,Dplus,7,1,1,18,3,5,0,-14,19,-0.7368421052631579
Dmaly,Dplus,6,4,1,16,2,5,1,-6,19,-0.3157894736842105
Soldier,Dplus,6,2,1,17,2,5,0,-15,19,-0.7894736842105263
Woogiman,Dplus,18,8,4,14,0,5,1,66,19,3.473684210526316
Yass,Dplus,18,6,3,14,2,5,0,54,19,2.8421052631578947
Jlad,Falcons,7,4,2,17,1,4,0,-10,18,-0.5555555555555556
Leadr,Falcons,7,4,1,16,0,4,0,-7,18,-0.3888888888888889
Bersa,Falcons,9,3,2,17,0,4,0,3,18,0.16666666666666666
Valantino,Falcons,14,8,2,15,5,4,0,19,18,1.0555555555555556
Quibz,Falcons,15,3,2,17,3,4,0,27,18,1.5
Cyber,FaZe,13,8,2,14,5,14,0,37,19,1.9473684210526316
Handy,FaZe,15,8,0,10,0,14,0,65,19,3.4210526315789473
Kds,FaZe,14,4,4,10,2,14,1,76,19,4.0
Soulz,FaZe,16,5,1,9,1,14,0,76,19,4.0
Vitaking,FaZe,20,9,1,11,2,14,1,92,19,4.842105263157895
Arukaze,Fear,0,0,0,0,0,0,0,0,0,0
Demic,Fear,0,0,0,0,0,0,0,0,0,0
Goodboy,Fear,0,0,0,0,0,0,0,0,0,0
Mephi,Fear,0,0,0,0,0,0,0,0,0,0
Rin,Fear,0,0,0,0,0,0,0,0,0,0
Bgman,Fury,0,0,0,0,0,0,0,0,0,0
Dark,Fury,0,0,0,0,0,0,0,0,0,0
I9,Fury,0,0,0,0,0,0,0,0,0,0
Krit,Fury,0,0,0,0,0,0,0,0,0,0
Lycolis,Fury,0,0,0,0,0,0,0,0,0,0
Alemao,G2,21,10,2,13,2,14,2,100,20,5.0
Benja,G2,17,8,2,10,3,14,0,73,20,3.65
Doki,G2,18,4,6,16,2,14,0,74,20,3.7
Uuno,G2,9,5,0,12,1,14,0,30,20,1.5
Virtue,G2,19,9,0,12,2,14,0,74,20,3.7
Hashom,Geekay,28,14,3,23,3,14,0,85,31,2.7419354838709675
Srsly,Geekay,29,10,5,24,2,14,0,97,31,3.129032258064516
Nudl,Geekay,27,12,5,20,2,14,4,129,31,4.161290322580645
Trixd,Geekay,11,8,1,28,3,14,2,3,31,0.0967741935483871
Xke,Geekay,11,7,3,22,4,14,1,16,31,0.5161290322580645
Lagonis,Liquid,13,6,0,18,0,16,5,77,29,2.6551724137931036
Nesk,Liquid,23,11,7,23,4,16,0,73,29,2.5172413793103448
Paluh,Liquid,24,9,2,20,3,16,0,81,29,2.793103448275862
Resetz,Liquid,26,12,3,16,4,16,1,108,29,3.7241379310344827
Volpz,Liquid,20,7,3,24,3,16,0,53,29,1.8275862068965518
Cameraman,LOS,15,10,1,9,0,14,0,68,18,3.7777777777777777
Dash,LOS,18,8,2,8,1,14,1,96,18,5.333333333333333
Dotz,LOS,18,9,3,12,3,14,1,81,18,4.5
Lobin,LOS,18,8,2,12,1,14,0,76,18,4.222222222222222
Maia,LOS,13,1,1,11,4,14,0,53,18,2.9444444444444446
Dias,M80,22,14,3,19,3,13,1,73,29,2.5172413793103448
Gmz,M80,23,10,1,20,6,13,0,61,29,2.103448275862069
Iconic,M80,17,8,2,21,1,13,0,42,29,1.4482758620689655
Spoit,M80,21,8,5,24,3,13,0,55,29,1.896551724137931
Yoggah,M80,14,4,1,22,4,13,1,28,29,0.9655172413793104
Kondz,NiP,15,7,2,17,0,6,1,41,20,2.05
Muzi,NiP,20,9,1,16,0,6,0,57,20,2.85
Pino,NiP,8,5,2,18,3,6,0,-9,20,-0.45
Psycho,NiP,8,2,3,18,4,6,0,-6,20,-0.3
Wizard,NiP,12,6,2,15,3,6,1,27,20,1.35
Fishlike,Scarz,17,4,0,19,5,12,1,46,27,1.7037037037037037
Pyon,Scarz,12,5,0,19,0,12,1,30,27,1.1111111111111112
Rec,Scarz,30,11,4,20,6,12,0,99,27,3.6666666666666665
Taiyou,Scarz,20,7,2,20,2,12,1,65,27,2.4074074074074074
Washoy,Scarz,14,3,4,24,4,12,0,19,27,0.7037037037037037
Ambi,Soniqs,25,6,7,20,3,15,0,97,27,3.5925925925925926
Ctzn,Soniqs,19,4,3,17,3,15,0,70,27,2.5925925925925926
Geo,Soniqs,16,4,1,18,1,15,0,52,27,1.9259259259259258
Gryxr,Soniqs,22,7,2,19,2,15,1,84,27,3.111111111111111
Rexen,Soniqs,20,9,4,19,1,15,0,70,27,2.5925925925925926
Ashn,SSG,27,13,10,26,8,15,0,78,35,2.2285714285714286
Forrest,SSG,22,14,3,26,3,15,0,48,35,1.3714285714285714
Fultz,SSG,23,14,1,26,3,15,0,49,35,1.4
Hotan,SSG,22,11,2,21,2,15,0,66,35,1.8857142857142857
J90,SSG,22,12,3,25,0,15,0,59,35,1.6857142857142857
Always,Virtus Pro,18,10,1,22,4,13,0,34,29,1.1724137931034482
Dan,Virtus Pro,20,12,5,19,3,13,1,69,29,2.3793103448275863
Joystick,Virtus Pro,22,14,4,21,2,13,0,63,29,2.1724137931034484
Pasha,Virtus Pro,23,13,2,21,4,13,0,61,29,2.103448275862069
Sheppard,Virtus Pro,17,7,2,22,2,13,0,38,29,1.3103448275862069
Felipox,W7M,15,7,3,21,1,16,2,57,29,1.9655172413793103
Herdz,W7M,27,4,8,22,3,16,0,107,29,3.689655172413793
Jv92,W7M,24,11,2,19,2,16,0,84,29,2.896551724137931
Kheyze,W7M,22,9,3,20,6,16,0,67,29,2.310344827586207
Nade,W7M,17,8,0,14,0,16,0,67,29,2.310344827586207
Biboo,Wolves,16,7,2,25,4,20,2,50,35,1.4285714285714286
Deadshot,Wolves,40,11,4,22,1,20,1,177,35,5.057142857142857
Mowwwgli,Wolves,31,15,6,24,9,20,0,102,35,2.914285714285714
P4,Wolves,23,10,3,24,4,20,1,79,35,2.257142857142857
Shinka,Wolves,14,8,1,21,1,20,0,39,35,1.1142857142857143
